1 Махнівський провулок                                               	1-й Махнівський провулок
Повстання Броненосця Потьомкіна вулиця                               	вулиця Повстання Броненосця Потьомкіна
Поділ вулиця                                                         	вулиця Поділ
Пожарського вулиця                                                   	вулиця Пожарського
Покришкіна вулиця                                                    	вулиця Покришкіна
Покришкіна провулок                                                  	провулок Покришкіна
Полковника Ганжі вулиця                                              	вулиця Полковника Ганжі
Полуботка вулиця                                                     	вулиця Полуботка
Полухіна вулиця                                                      	вулиця Полухіна
Польва вулиця                                                        	вулиця Польва
Поліна вулиця                                                        	вулиця Поліна
Поліни Осипенко вулиця                                               	вулиця Поліни Осипенко
Понєдєліна вулиця                                                    	вулиця Понєдєліна
Поплавського вулиця                                                  	вулиця Поплавського
Поповича вулиця                                                      	вулиця Поповича
Порика вулиця                                                        	вулиця Порика
Постишева вулиця                                                     	вулиця Постишева
Праведників світу вулиця                                             	вулиця Праведників Світу
Примакова вулиця                                                     	вулиця Примакова
Примирення вулиця                                                    	вулиця Примирення
Проектувальників проїзд                                              	проїзд Проектувальників
Професора Шульги вулиця                                              	вулиця Професора Шульги
Процишина вулиця                                                     	вулиця Процишина
Птахіна вулиця                                                       	вулиця Птахіна
Пугачова вулиця                                                      	вулиця Пугачова
Пугачова провулок                                                    	провулок Пугачова
Пушкіна вулиця                                                       	вулиця Пушкіна
Підгаєцького вулиця                                                  	вулиця Підгаєцького
Підгорбунського вулиця                                               	вулиця Підгорбунського
Піддубного вулиця                                                    	вулиця Піддубного
Пірогова вулиця                                                      	вулиця Пірогова
П’ятничанська вулиця                                                 	Пʼятничанська вулиця
Радянської Армії вулиця                                              	вулиця Радянської Армії
Разіна вулиця                                                        	вулиця Разіна
Разіна провулок                                                      	провулок Разіна
Ракова Шийка вулиця                                                  	вулиця Ракова Шийка
Революції Гідності вулиця                                            	вулиця Революції Гідності
Революції вулиця                                                     	вулиця Революції
Речмедіна вулиця                                                     	вулиця Речмедіна
Рибалка вулиця                                                       	вулиця Рибалка
Рильського вулиця                                                    	вулиця Рильського
Рилєєва вулиця                                                       	вулиця Рилєєва
Родіона Скалецького вулиця                                           	вулиця Родіона Скалецького
Рози Люксембург вулиця                                               	вулиця Рози Люксембург
Романа Балаби вулиця                                                 	вулиця Романа Балаби
Романа Грушка вулиця                                                 	вулиця Романа Грушка
Романа Чайковського вулиця                                           	вулиця Романа Чайковського
Романа Шухевича вулиця                                               	вулиця Романа Шухевича
Романа Шухевича провулок                                             	провулок Романа Шухевича
Романенко вулиця                                                     	вулиця Романенко
Россоха вулиця                                                       	вулиця Россоха
Руданського вулиця                                                   	вулиця Руданського
Руднева вулиця                                                       	вулиця Руднева
Руський Вал вулиця                                                   	вулиця Руський Вал
Рєпіна вулиця                                                        	вулиця Рєпіна
С. Ковриги вулиця                                                    	вулиця С. Ковриги
С. Нігояна вулиця                                                    	вулиця С. Нігояна
Савишина вулиця                                                      	вулиця Савишина
Савчука вулиця                                                       	вулиця Савчука
Сагайдачного вулиця                                                  	вулиця Сагайдачного
Садова  вулиця                                                       	Садова вулиця
Садовського вулиця                                                   	вулиця Садовського
Саксаганського вулиця                                                	вулиця Саксаганського
Саксаганського провулок                                              	провулок Саксаганського
Салтикова-Щедріна вулиця                                             	вулиця Салтикова-Щедріна
Салтикова-Щедріна провулок                                           	провулок Салтикова-Щедріна
Самійла Самуся вулиця                                                	вулиця Самійла Самуся
Сахарова вулиця                                                      	вулиця Сахарова
Сашка вулиця                                                         	вулиця Сашка
Свердлова вулиця                                                     	вулиця Свердлова
Свердлова провулок                                                   	провулок Свердлова
Свинаря вулиця                                                       	вулиця Свинаря
Свободи бульвар                                                      	бульвар Свободи
Свободи вулиця                                                       	вулиця Свободи
Свободи проспект                                                     	проспект Свободи
Святого Миколая вулиця                                               	вулиця Святого Миколая
Святого Миколая майдан                                               	майдан Святого Миколая
Святослава Хороброго вулиця                                          	вулиця Святослава Хороброго
Святослава Хороброго провулок                                        	провулок Святослава Хороброго
Свідзінського вулиця                                                 	вулиця Свідзінського
Северина Наливайка вулиця                                            	вулиця Северина Наливайка
Северина Наливайка площа                                             	площа Северина Наливайка
Северина Наливайка провулок                                          	провулок Северина Наливайка
Северина Наливайка тупик                                             	тупик Северина Наливайка
Седова вулиця                                                        	вулиця Седова
Семака вулиця                                                        	вулиця Семака
Семашко вулиця                                                       	вулиця Семашко
Семена Олійничука провулок                                           	провулок Семена Олійничука
Семенова вулиця                                                      	вулиця Семенова
Семенюка вулиця                                                      	вулиця Семенюка
Семеренка вулиця                                                     	вулиця Семеренка
Сенатора Маккейна вулиця                                             	вулиця Сенатора Маккейна
Серафимовича вулиця                                                  	вулиця Серафимовича
Сербіна вулиця                                                       	вулиця Сербіна
Сербіна провулок                                                     	провулок Сербіна
Сергєєва-Ценського провулок                                          	провулок Сергєєва-Ценського
Сергія Гармишева вулиця                                              	вулиця Сергія Гармишева
Сергія Зулінського вулиця                                            	вулиця Сергія Зулінського
Сергія Лазо вулиця                                                   	вулиця Сергія Лазо
Сергія Лазо провулок                                                 	провулок Сергія Лазо
Сергія Параджанова вулиця                                            	вулиця Сергія Параджанова
Сердечнюка вулиця                                                    	вулиця Сердечнюка
Симона Петлюри вулиця                                                	вулиця Симона Петлюри
Симона Петрлюри вулиця                                               	вулиця Симона Петрлюри
Сиротюка вулиця                                                      	вулиця Сиротюка
Склярова вулиця                                                      	вулиця Склярова
Сковороди вулиця                                                     	вулиця Сковороди
Слобода вулиця                                                       	вулиця Слобода
Слов’янська вулиця                                                   	Словʼянська вулиця
Слов’янський провулок                                                	Словʼянський провулок
Соборності вулиця                                                    	вулиця Соборності
Соборності провулок                                                  	провулок Соборності
Сокирка провулок                                                     	провулок Сокирка
Солов'їна вулиця                                                     	Соловʼїна вулиця
Солов’їна вулиця                                                     	Соловʼїна вулиця
Солов’їний провулок                                                  	Соловʼїний провулок
Соломії Крушельницької вулиця                                        	вулиця Соломії Крушельницької
Соломії Крушельницької провулок                                      	провулок Соломії Крушельницької
Солідарності вулиця                                                  	вулиця Солідарності
Сорокопуда вулиця                                                    	вулиця Сорокопуда
Сосновий Бір вулиця                                                  	вулиця Сосновий Бір
Сосонка вулиця                                                       	вулиця Сосонка
Сосюри вулиця                                                        	вулиця Сосюри
Софії Русової вулиця                                                 	вулиця Софії Русової
Спартака вулиця                                                      	вулиця Спартака
Спорту вулиця                                                        	вулиця Спорту
Станіславського вулиця                                               	вулиця Станіславського
Станіславського провулок                                             	провулок Станіславського
Станіславського проїзд                                               	проїзд Станіславського
Старицького вулиця                                                   	вулиця Старицького
Стахурського вулиця                                                  	вулиця Стахурського
Сташко вулиця                                                        	вулиця Сташко
Стельмаха вулиця                                                     	вулиця Стельмаха
Степана Бандери вулиця                                               	вулиця Степана Бандери
Степана Бандери провулок                                             	провулок Степана Бандери
Степана Руданського вулиця                                           	вулиця Степана Руданського
Степана Тимошенка вулиця                                             	вулиця Степана Тимошенка
Степана Тимошенка провулок                                           	провулок Степана Тимошенка
Степового вулиця                                                     	вулиця Степового
Стеценка Кирила вулиця                                               	вулиця Кирила Стеценка
Стеценка вулиця                                                      	вулиця Стеценка
Столярчука вулиця                                                    	вулиця Столярчука
Стровського вулиця                                                   	вулиця Стровського
Строкача вулиця                                                      	вулиця Строкача
Струтинського вулиця                                                 	вулиця Струтинського
Стуса вулиця                                                         	вулиця Стуса
Суворова вулиця                                                      	вулиця Суворова
Сьомака вулиця                                                       	вулиця Сьомака
Сєдова вулиця                                                        	вулиця Сєдова
Сєрова вулиця                                                        	вулиця Сєрова
Січових Стрілців вулиця                                              	вулиця Січових Стрільців
Січових Стрільців вулиця                                             	вулиця Січових Стрільців
Т. Г. Шевченка вулиця                                                	вулиця Т. Г. Шевченка
Талаліхіна вулиця                                                    	вулиця Талаліхіна
Талаліхіна провулок                                                  	провулок Талаліхіна
Танкістів вулиця                                                     	вулиця Танкістів
Тараса Сича вулиця                                                   	вулиця Тараса Сича
Тараса Сича провулок                                                 	провулок Тараса Сича
Тараса Шевченка вулиця                                               	вулиця Тараса Шевченка
Тараса Шевченка площа                                                	площа Тараса Шевченка
Тараса Шевченка провулок                                             	провулок Тараса Шевченка
Тараса Шевченка тупик                                                	тупик Тараса Шевченка
Тарногродського вулиця                                               	вулиця Тарногродського
Тельмана вулиця                                                      	вулиця Тельмана
Тельнюка вулиця                                                      	вулиця Тельнюка
Телячука вулиця                                                      	вулиця Телячука
Терентія Полубуткіна вулиця                                          	вулиця Терентія Полубуткіна
Терешкової вулиця                                                    	вулиця Терешкової
Терешкової провулок                                                  	провулок Терешкової
Тетяни Кошиць вулиця                                                 	вулиця Тетяни Кошиць
Тетяни Яблонської вулиця                                             	вулиця Тетяни Яблонської
Тимка Падури вулиця                                                  	вулиця Тимка Падури
Тимка Падури провулок                                                	провулок Тимка Падури
Тимощука вулиця                                                      	вулиця Тимощука
Тичини вулиця                                                        	вулиця Тичини
Тобілевича вулиця                                                    	вулиця Тобілевича
Толбухіна вулиця                                                     	вулиця Толбухіна
Толбухіна провулок                                                   	провулок Толбухіна
Толстого вулиця                                                      	вулиця Толстого
Топольського вулиця                                                  	вулиця Топольського
Трембицького вулиця                                                  	вулиця Трембицького
Тропініна вулиця                                                     	вулиця Тропініна
Тропініна провулок                                                   	провулок Тропініна
Трублаїні вулиця                                                     	вулиця Трублаїні
Тугушова вулиця                                                      	вулиця Тугушова
Тургенєва вулиця                                                     	вулиця Тургенєва
Тухачевського вулиця                                                 	вулиця Тухачевського
Тімірязева вулиця                                                    	вулиця Тімірязева
Тімірязева провулок                                                  	провулок Тімірязева
Тімірязєва вулиця                                                    	вулиця Тімірязєва
Тімірязєва провулок                                                  	провулок Тімірязєва
Тітова вулиця                                                        	вулиця Тітова
Уборевича вулиця                                                     	вулиця Уборевича
Ударника вулиця                                                      	вулиця Ударника
Ударника провулок                                                    	провулок Ударника
Українського Козацтва вулиця                                         	вулиця Українського Козацтва
Уласа Самчука вулиця                                                 	вулиця Уласа Самчука
Урицького вулиця                                                     	вулиця Урицького
Устима Кармалюка вулиця                                              	вулиця Устима Кармалюка
Устима Кармалюка провулок                                            	провулок Устима Кармалюка
Устима Кармелюка вулиця                                              	вулиця Устима Кармелюка
Устима Кармелюка провулок                                            	провулок Устима Кармелюка
Ушакова вулиця                                                       	вулиця Ушакова
Ушакова провулок                                                     	провулок Ушакова
Ушинського вулиця                                                    	вулиця Ушинського
Фабріціуса вулиця                                                    	вулиця Фабріціуса
Фадєєва вулиця                                                       	вулиця Фадєєва
Фадєєва провулок                                                     	провулок Фадєєва
Федора Маківчука вулиця                                              	вулиця Федора Маківчука
Фелікса Дзержинського вулиця                                         	вулиця Фелікса Дзержинського
Фелікса Кона вулиця                                                  	вулиця Фелікса Кона
Фелікса Кона провулок                                                	провулок Фелікса Кона
Франка вулиця                                                        	вулиця Франка
Франца Мерінга провулок                                              	провулок Франца Мерінга
Франциска Скорини вулиця                                             	вулиця Франциска Скорини
Франциска Скорини провулок                                           	провулок Франциска Скорини
Фрунзе вулиця                                                        	вулиця Фрунзе
Фрунзе провулок                                                      	провулок Фрунзе
Фурманова вулиця                                                     	вулиця Фурманова
Фурманова вуліця                                                     	вулиця Фурманова
Халтуріна вулиця                                                     	вулиця Халтуріна
Хліборобів вулиця                                                    	вулиця Хліборобів
Хмельницького вулиця                                                 	вулиця Хмельницького
Хмельницького провулок                                               	провулок Хмельницького
Целіш вулиця                                                         	вулиця Целіш
Центральна вулицяц                                                   	Центральна вулиця
Цукровиків вулиця                                                    	вулиця Цукровиків
Цукрозаводу вулиця                                                   	вулиця Цукрозаводу
Ціолковського вулиця                                                 	вулиця Ціолковського
Ціолковського провулок                                               	провулок Ціолковського
Чабана вулиця                                                        	вулиця Чабана
Чайковського вулиця                                                  	вулиця Чайковського
Чайковського провулок                                                	провулок Чайковського
Чапаева вулиця                                                       	вулиця Чапаєва
Чапаєва вулиця                                                       	вулиця Чапаєва
Чейковського вулиця                                                  	вулиця Чейковського
Червоних Курсантів вулиця                                            	вулиця Червоних Курсантів
Червоних Партизан вулиця                                             	вулиця Червоних Партизан
Червоного Козацтва вулиця                                            	вулиця Червоного Козацтва
Червоної Калини вулиця                                               	вулиця Червоної Калини
Червоної Калини провулок                                             	провулок Червоної Калини
Черешенька провулок                                                  	провулок Черешенька
Черлінка вулиця                                                      	вулиця Черлінка
Чернишевского вулиця                                                 	вулиця Чернишевського
Чернишевського вулиця                                                	вулиця Чернишевського
Чернова вулиця                                                       	вулиця Чернова
Черняховського вулиця                                                	вулиця Черняховського
Черняховського провулок                                              	провулок Черняховського
Черняхівського вулиця                                                	вулиця Черняхівського
Чесака вулиця                                                        	вулиця Чесака
Чехова вулиця                                                        	вулиця Чехова
Чехова провулок                                                      	провулок Чехова
Чехова проїзд 1-й                                                    	1-й проїзд Чехова
Чехова проїзд 2-й                                                    	2-й проїзд Чехова
Чехова проїзд 3-й                                                    	3-й проїзд Чехова
Чкалова вулиця                                                       	вулиця Чкалова
Чорнобаївка вулиця                                                   	вулиця Чорнобаївка
Чорновола вулиця                                                     	вулиця Чорновола
Чубаря вулиця                                                        	вулиця Чубаря
Чумацький Шлях вулиця                                                	вулиця Чумацький Шлях
Чумацький Шлях провулок                                              	провулок Чумацький Шлях
Шапова вулиця                                                        	вулиця Шапова
Шевченка вулиця                                                      	вулиця Шевченка
Шевченка площа                                                       	площа Шевченка
Шевченка провулок                                                    	провулок Шевченка
Шевчука вулиця                                                       	вулиця Шевчука
Шереметка вулиця                                                     	вулиця Шереметка
Шереметка провулок                                                   	провулок Шереметка
Шереметка проїзд                                                     	проїзд Шереметка
Шибінського вулиця                                                   	вулиця Шибінського
Ширшова вулиця                                                       	вулиця Ширшова
Шмідта вулиця                                                        	вулиця Шмідта
Шмідта провулок                                                      	провулок Шмідта
Шолом-Алейхема вулиця                                                	вулиця Шолом-Алейхема
Шолохова вулиця                                                      	вулиця Шолохова
Шорса вулиця                                                         	вулиця Шорса
Шпаковича вулиця                                                     	вулиця Шпаковича
Шпорти вулиця                                                        	вулиця Шпорти
Шукшина вулиця                                                       	вулиця Шукшина
Щастлива вулиця                                                      	Щаслива вулиця
Щастя вулиця                                                         	вулиця Щастя
Щедріна провулок                                                     	провулок Щедріна
Щорса вулиця                                                         	вулиця Щорса
Щорса провулок                                                       	провулок Щорса
Щукіна вулиця                                                        	вулиця Щукіна
Щукіна провулок                                                      	провулок Щукіна
Ю.Курія вулиця                                                       	вулиця Ю. Курія
Ю.Рябчинської вулиця                                                 	вулиця Ю. Рябчинської
Ю.Смирнова вулиця                                                    	вулиця Ю. Смирнова
Ю.Смирнова провулок                                                  	провулок Ю. Смирнова
Юківка вулиця                                                        	вулиця Юківка
Юліуша Словацького вулиця                                            	вулиця Юліуша Словацького
Юності вулиця                                                        	вулиця Юності
Юності провулок                                                      	провулок Юності
Юності проспект                                                      	проспект Юності
Юності проїзд                                                        	проїзд Юності
Юрія Іллєнка вулиця                                                  	вулиця Юрія Іллєнка
Юрія Александровича вулиця                                           	вулиця Юрія Александровича
Юрія Гагаріна вулиця                                                 	вулиця Юрія Гагаріна
Юрія Збанацького вулиця                                              	вулиця Юрія Збанацького
Юрія Клена вулиця                                                    	вулиця Юрія Клена
Юрія Коваленка вулиця                                                	вулиця Юрія Коваленка
Юрія Левади вулиця                                                   	вулиця Юрія Левади
Юрія Лісового вулиця                                                 	вулиця Юрія Лісового
Юхима Сіцінського вулиця                                             	вулиця Юхима Сіцінського
Юхима Сіцінського провулок                                           	провулок Юхима Сіцінського
Ющенка вулиця                                                        	вулиця Ющенка
Я. Іщенка вулиця                                                     	вулиця Я. Іщенка
Я. Дем'янишина вулиця                                                	вулиця Я. Демʼянишина
Я. Мудрого вулиця                                                    	вулиця Я. Мудрого
Якова Гальчевського вулиця                                           	вулиця Якова Гальчевського
Якова Гальчевського провулок                                         	провулок Якова Гальчевського
Якова Шепеля вулиця                                                  	вулиця Якова Шепеля
Яковчука вулиця                                                      	вулиця Яковчука
Яковчука провулок                                                    	провулок Яковчука
Якіра вулиця                                                         	вулиця Якіра
Якіра провулок                                                       	провулок Якіра
Яна Засідателя вулиця                                                	вулиця Яна Засідателя
Яна Засідателя провулок                                              	провулок Яна Засідателя
Янківського вулиця                                                   	вулиця Янківського
Янюка М. вулиця                                                      	вулиця М. Янюка
Яреми вулиця                                                         	вулиця Яреми
Яремчука вулиця                                                      	вулиця Яремчука
Ярмоли Мелешка вулиця                                                	вулиця Ярмоли Мелешка
Ярослава Галана вулиця                                               	вулиця Ярослава Галана
Ярослава Мудрого вулиця                                              	вулиця Ярослава Мудрого
Ярослава Нємеца вулиця                                               	вулиця Ярослава Нємеца
Ярослава Нємеца провулок                                             	провулок Ярослава Нємеца
Ярошинського вулиця                                                  	вулиця Ярошинського
Ґрохольських вулиця                                                  	вулиця Ґрохольських
Ґрохольських провулок                                                	провулок Ґрохольських
Ґрохольських тупик                                                   	тупик Ґрохольських
1 Серпня вулиця                                                      	вулиця 1 Серпня
1 лінія                                                              	1-ша лінія
1-й Кропоткина переулок                                              	1-й провулок Кропоткіна
1-й Юрыя Левади проїзд                                               	1-й проїзд Юрія Левади
1-й провулок Північний                                               	1-й Північний провулок
10 лінія                                                             	10-та лінія
11 лінія                                                             	11-та лінія
12 лінія                                                             	12-та лінія
13 лінія                                                             	13-та лінія
14 лінія                                                             	14-та лінія
15 лінія                                                             	15-та лінія
16 лінія                                                             	16-та лінія
17 лінія                                                             	17-та лінія
18 лінія                                                             	18-та лінія
19 лінія                                                             	19-та лінія
2 лінія                                                              	2-га лінія
2-й Гетьмана Сагайдачного провулок                                   	
2-й Скыфський провулок                                               	2-й Скіфський провулок
2-й провулок Північний                                               	2-й Північний провулок
20 лінія                                                             	20-та лінія
3 лінія                                                              	3-тя лінія
3-й Леоніда Каженюка провулок                                        	3-й провулок Леоніда Каженюка
30 Rokiv Peremohy                                                    	30 років Перемоги
3rd Moskovskyi Lane;3-й Московський провулок;переулок 3-й Московский 	3-й Московський провулок
4 лінія                                                              	4-та лінія
5 лінія                                                              	5-та лінія
6 лінія                                                              	6-та лінія
7 лінія                                                              	7-ма лінія
8 Марта                                                              	8 Березня
8 лінія                                                              	8-ма лінія
9 лінія                                                              	9-та лінія
5-й Леонида Каденюка провулок                                        	5-й провулок Леоніда Каденюка
50-річчя Жовтня вулиця;50-летия Октября улица                        	вулиця 50-річчя Жовтня
:Жовтнева вулиця                                                     	Жовтнева вулиця
=Миколи Амосова вулиця                                               	вулиця Миколи Амосова
Frunze Street;Фрунзе вулиця                                          	вулиця Фрунзе
Gagarin Street;Gagarina                                              	вулиця Гагаріна
Gagarin Street;Gagarina Street                                       	вулиця Гагаріна
Gogol Street;Gogolya Street                                          	вулиця Гоголя
Lenina;Леніна                                                        	Леніна                                       	
