1 Грудня вулиця                                                                      	вулиця 1 Грудня
Черемушки вулиця                                                                     	вулиця Черемушки
Черкасенка вулиця                                                                    	вулиця Черкасенка
Чернавіна вулиця                                                                     	вулиця Чернавіна
Чернеги вулиця                                                                       	вулиця Чернеги
Чернишевського вулиця                                                                	вулиця Чернишевського
Чернишевського провулок                                                              	провулок Чернишевського
Черншевського вулиця                                                                 	вулиця Чернишевського
Черняховського вулиця                                                                	вулиця Черняховського
Черняхівського вулиця                                                                	вулиця Черняхівського
Черняхівського провулок                                                              	провулок Черняхівського
Чесака вулиця                                                                        	вулиця Чесака
Четверта вулиця                                                                      	4-та вулиця
Четвертий Проскурівський провулок                                                    	4-й Проскурівський провулок
Чехова вулиця                                                                        	вулиця Чехова
Чехова провулок                                                                      	провулок Чехова
Чикирди провулок                                                                     	провулок Чикирди
Чичеріна вулиця                                                                      	вулиця Чичеріна
Чкалова вулиця                                                                       	вулиця Чкалова
Чкалова провулок                                                                     	провулок Чкалова
Чорнобривого вулиця                                                                  	вулиця Чорнобривого
Чорнобрового вулиця                                                                  	вулиця Чорнобрового
Чорновола вулиця                                                                     	вулиця Чорновола
Чорновола провулок                                                                   	провулок Чорновола
Чотирьохсотріччя Шепетівки вулиця                                                    	вулиця 400-річчя Шепетівки
Чубинського вулиця                                                                   	вулиця Чубинського
Чубинського провулок                                                                 	провулок Чубинського
Чулкова вулиця                                                                       	вулиця Чулкова
Ш. Антоновича вулиця                                                                 	вулиця Ш. Антоновича
Шапка вулиця                                                                         	вулиця Шапка
Шаталова вулиця                                                                      	вулиця Шаталова
Шаталова провулок                                                                    	провулок Шаталова
Шашкевича вулиця                                                                     	вулиця Шашкевича
Шваленберга вулиця                                                                   	вулиця Шваленберга
Шварца вулиця                                                                        	вулиця Шварца
Шевцової вулиця                                                                      	вулиця Шевцової
Шевченка вулиця                                                                      	вулиця Шевченка
Шевченка площа                                                                       	площа Шевченка
Шевченка провулок                                                                    	провулок Шевченка
Шевченко вулиця                                                                      	вулиця Шевченко
Шендеровського вулиця                                                                	вулиця Шендеровського
Шестакова вулиця                                                                     	вулиця Шестакова
Шестакова провулок                                                                   	провулок Шестакова
Шешукова вулиця                                                                      	вулиця Шешукова
Шмідта вулиця                                                                        	вулиця Шмідта
Шолом Алейхема вулиця                                                                	вулиця Шолом-Алейхема
Шолом-Алейхема вулиця                                                                	вулиця Шолом-Алейхема
Шолохова вулиця                                                                      	вулиця Шолохова
Шостаковича провулок                                                                 	провулок Шостаковича
Шостий Проскурівський провулок                                                       	6-й Проскурівський провулок
Шукшина вулиця                                                                       	вулиця Шукшина
Шупарського вулиця                                                                   	вулиця Шупарського
Шухевича Романа вулиця                                                               	вулиця Романа Шухевича
Шухевича Романа провулок                                                             	провулок Романа Шухевича
Шухевича вулиця                                                                      	вулиця Шухевича
Щастя вулиця                                                                         	вулиця Щастя
Щастя провулок                                                                       	провулок Щастя
Щедріна вулиця                                                                       	вулиця Щедріна
Щедріна провулок                                                                     	провулок Щедріна
Щерби вулиця                                                                         	вулиця Щерби
Щорса вулиця                                                                         	вулиця Щорса
Щорса провулок                                                                       	провулок Щорса
Ю. Бурка вулиця                                                                      	вулиця Ю. Бурка
Ю. Бурка провулок                                                                    	провулок Ю. Бурка
Ю. Липи вулиця                                                                       	вулиця Ю. Липи
Юннатів вулиця                                                                       	вулиця Юннатів
Юннатів провулок                                                                     	провулок Юннатів
Юності вулиця                                                                        	вулиця Юності
Юності провулок                                                                      	провулок Юності
Юрдика вулиця                                                                        	вулиця Юрдика
Юридика вулиця                                                                       	вулиця Юридика
Юрія Гагаріна вулиця                                                                 	вулиця Юрія Гагаріна
Юрія Гнатюка вулиця                                                                  	вулиця Юрія Гнатюка
Юрія Громового вулиця                                                                	вулиця Юрія Громового
Юрія Клена вулиця                                                                    	вулиця Юрія Клена
Юрія Клена провулок                                                                  	провулок Юрія Клена
Юрія Лебеденка вулиця                                                                	вулиця Юрія Лебеденка
Юрія Савіцького вулиця                                                               	вулиця Юрія Савіцького
Юхима Сіцінського вулиця                                                             	вулиця Юхима Сіцінського
Юхима Сіцінського провулок                                                           	провулок Юхима Сіцінського
Яворницького вулиця                                                                  	вулиця Яворницького
Яворницького провулок                                                                	провулок Яворницького
Яворського вулиця                                                                    	вулиця Яворського
Язвінського вулиця                                                                   	вулиця Язвінського
Якова Гальчевського вулиця                                                           	вулиця Якова Гальчевського
Якова Гальчевського провулок                                                         	провулок Якова Гальчевського
Якова Гальчевського проїзд                                                           	проїзд Якова Гальчевського
Якова Завірюхи вулиця                                                                	вулиця Якова Завірюхи
Якова Свердлова вулиця                                                               	вулиця Якова Свердлова
Якубовського вулиця                                                                  	вулиця Якубовського
Якіра вулиця                                                                         	вулиця Якіра
Яна де Вітте вулиця                                                                  	вулиця Яна де Вітте
Яновського провулок                                                                  	провулок Яновського
Янівка вулиця                                                                        	вулиця Янівка
Яніса Фабриціуса вулиця                                                              	вулиця Яніса Фабриціуса
Яремчука вулиця                                                                      	вулиця Яремчука
Яремчука провулок                                                                    	провулок Яремчука
Яремчука проїзд                                                                      	проїзд Яремчука
Ярослава Галана вулиця                                                               	вулиця Ярослава Галана
Ярослава Давидова вулиця                                                             	вулиця Ярослава Давидова
Ярослава Кревогубця вулиця                                                           	вулиця Ярослава Кревогубця
Ярослава Мудрого вулиця                                                              	вулиця Ярослава Мудрого
Ярослава Мудрого провулок                                                            	провулок Ярослава Мудрого
Ярослава Стецька вулиця                                                              	вулиця Ярослава Стецька
вулиця В'ячеслава Чорновола                                                          	вулиця Вʼячеслава Чорновола
вулиця Набережна                                                                     	Набережна вулиця
вулиця Центральна                                                                    	Центральна вулиця
гагаріна вулиця                                                                      	вулиця Гагаріна
матросова вулиця                                                                     	вулиця Матросова
першотравнева вулиця                                                                 	Першотравнева вулиця
петровського вулиця                                                                  	вулиця Петровського
провулок Короткий                                                                    	Короткий провулок
пролетарська вулиця                                                                  	Пролетарська вулиця
1 Травня вулиця;1 Мая улица                                                          	вулиця 1 Травня
1 Травня вулиця;Першого Травня вулиця                                                	вулиця 1 Травня
1 травня вулиця;1 Мая улица                                                          	вулиця 1 Травня
1-й Пушкіна провулок ; 1-й Пушкина переулок                                          	1-й провулок Пушкіна
8 Березня вулиця;8 Марта улица;8 Bereznia Street                                     	вулиця 8 Березня
8 Березня провулок ; 8 Марта переулок                                                	провулок 8 Березня
8 марта улица;8 Березня вулиця;8 Bereznia Street                                     	вулиця 8 Березня
9 Травня вулиця; 9 Мая улица                                                         	вулиця 9 Травня
Chaikovskoho Lane;Чайковського провулок;Чайковского переулок                         	провулок Чайковського
Chaikovskoho Street;Чайковського вулиця;Чайковского улица                            	вулиця Чайковського
Chapaieva Street;Chapaeva Street;Chapayeva Street;Чапаєва вулиця;Чапаева вулиця      	вулиця Чапаєва
Gagarin Street;Gagarina Street;Haharina Street;Гагарина улица;Гагаріна вулиця        	вулиця Гагаріна
Gagarin Street;Gagarina Street;Haharina Street;Гагаріна вулиця;Гагарина улица        	вулиця Гагаріна
Gagarin Street;Haharina Street                                                       	вулиця Гагаріна
Gagarin Street;Haharina Street;Gagarina Street;Гагарина улица;Гагаріна вулиця        	вулиця Гагаріна
Haidara Lane;Gaidara Lane;Гайдара провулок;Гайдара переулок                          	провулок Гайдара
Kalinina Lane;переулок Калинина;Калініна провулок                                    	провулок Калініна
Kolhospna Street;Kolkhoznaya Street;Колгоспна вулиця;Колхозная улица                 	Колгоспна вулиця
Kuprina Lane;Куприна провулок;Купріна провулок                                       	провулок Купріна
Michurina Lane;Мічуріна провулок;Мичурина переулок                                   	провулок Мічуріна
Pershotravneva Street;Pervomayskaya Street;Першотравнева вулиця;Первомайская улица   	Першотравнева вулиця
Popovycha Lane;Поповича переулок;Поповича провулок                                   	провулок Поповича
Popovycha Street;Поповича улица;Поповича вулиця                                      	вулиця Поповича
Pushkina Street;Pushkin Street;Пушкіна вулиця;Пушкина улица                          	вулиця Пушкіна
Pushkina Street;Пушкіна вулиця;Пушкина улица                                         	вулиця Пушкіна
Razina Street;Разіна вулиця;Разина улица                                             	вулиця Разіна
Shmidta Lane;Шмідта провулок;Шмидта переулок;Schmidt Lane                            	провулок Шмідта
Sholokhova Lane;Шолохова провулок;Шолохова переулок                                  	провулок Шолохова
Titova Lane;Тітова провулок                                                          	провулок Тітова
Vali Kotyka Street;Валі Котика вулиця                                                	вулиця Валі Котика
Yesenina Street;Esenina Street;Єсеніна вулиця;Есенина улица                          	вулиця Єсеніна
Бабушкіна вулиця ; Бабушкина улица                                                   	вулиця Бабушкіна
Буденного улица ; Будьонного вулиця ; Будьоного вулиця                               	вулиця Будьонного
Валі Котика вулиця ; Валі Котик вулиця                                               	вулиця Валі Котика
Валі Котика вулиця;Вали Котика улица                                                 	вулиця Валі Котика
Ватутіна вулиця ; Ватутина улица                                                     	вулиця Ватутіна
Ватутіна вулиця ; Ватутіна вулиця                                                    	вулиця Ватутіна
Вишнева вулиця;Вишнёвая улица;Vyshneva Street;Vishnyovaya Street                     	Вишнева вулиця
Гагарина улица ; Гагаріна вулиця                                                     	вулиця Гагаріна
Гагаріна вулиця ; Гагарина улица                                                     	вулиця Гагаріна
Гагаріна вулиця;Гагарина улица;Gagarina Street;Gagarin Street;Haharina Street        	вулиця Гагаріна
Гагаріна вулиця;Гагарина улица;Haharina Street;Gagarina Street;Gagarin Street        	вулиця Гагаріна
Гагаріна провулок;1 Мая переулок                                                     	провулок Гагаріна;провулок 1 Травня
Герцена вулиця ; Herzen Street ; Hertsena Street                                     	вулиця Герцена
Громової вулиця ; Громовой улица                                                     	вулиця Громової
Декабристов улица;Декабристів вулиця                                                 	вулиця Декабристів
Дзержинского улица ; Дзержинського вулиця                                            	вулиця Дзержинського
Димитрова вулиця;Дімітрова вулиця;Dimitrov Street                                    	вулиця Димитрова
Жовтнева вулиця ; Октябрьская улица                                                  	Жовтнева вулиця
Жовтнева вулиця;Октябрьская улица;Zhovtneva Street;Oktyabrskaya Street               	Жовтнева вулиця
Зої Космодем'янської вулиця ; Зои Космодемьянской вулиця                             	вулиця Зої Космодемʼянської
Зої Космодем'янської вулиця;Зои Космодемьянской улица                                	вулиця Зої Космодемʼянської
К. Цеткін провулок ; К. Цеткин переулок ; K. Zetkin Lane                             	провулок К. Цеткін
Калинина улица ; Калініна вулиця                                                     	вулиця Калініна
Калініна вулиця ; Калинина улица                                                     	вулиця Калініна
Карла Маркса вулиця;Karl Marx Street                                                 	вулиця Карла Маркса
Колгоспна вулиця ; Колхозная улица                                                   	Колгоспна вулиця
Колгоспна вулиця ; Колхозная улицаi                                                  	Колгоспна вулиця
Колгоспна вулиця;Колхозная улица                                                     	Колгоспна вулиця
Комсомольська вулиця ; Комсомольская улица                                           	Комсомольська вулиця
Комунарів вулиця ; Коммунаров улица                                                  	вулиця Комунарів
Комісарська вулиця ; Коммисарская улица                                              	Комісарська вулиця
Котовського вулиця ; Котовского улица                                                	вулиця Котовського
Кошевого улица ; Кошового вулиця                                                     	вулиця Кошового
Кошового О. вулиця;Кошевого О. улица; Koshevogo O. Street;Koshovoho O. Street        	вулиця О. Кошового
Кошового вулиця ; Кошевого улица                                                     	вулиця Кошового
Кренкеля вулиця;Люби Берлін вулиця                                                   	вулиця Кренкеля;вулиця Люби Берлін
Кузнецова вулиця ; Кузнєцова вулиця                                                  	вулиця Кузнєцова;вулиця Кузнєцова
Кірова вулиця ; Кирова улица                                                         	вулиця Кірова
Леніна вулиця ; Ленина улица ; Lenin Street; Lenina Street                           	вулиця Леніна
Леніна вулиця ; Ленина улица ;Lenin Street ; Lenina Street                           	вулиця Леніна
Леніна вулиця;Lenina Street;Lenin Street;Ленина улица                                	вулиця Леніна
Ленінградська вулиця ; Ленинградская улица                                           	Ленінградська вулиця
Лермонтова вулиця;Lermontova Street;Lermontov Street                                 	вулиця Лермонтова
Маяковського вулиця ; Маяковского улица                                              	вулиця Маяковського
Маяковського провулок;Маяковского переулок                                           	провулок Маяковського
Мересьєва провулок;Meresieva Lane;Мересьева переулок                                 	провулок Мерсьєва
Мичурина улица ; Мічуріна вулиця                                                     	вулиця Мічуріна
Мосоквська вулиця ; Московская улица                                                 	Московська вулиця
Мічуріна вулиця ; Мичурина улица                                                     	вулиця Мічуріна
Мічуріна провулок ; Мічуріна провулок                                                	провулок Мічуріна
Нахімова вулиця;улица Нахимова;Nakhimova Street                                      	вулиця Нахімова
Новікова вулиця;Новикова вулиця                                                      	вулиця Новікова
Островского улица ; Островського вулиця                                              	вулиця Островського
Островського вулиця ; Островского улица                                              	вулиця Островського
Островського вулиця;Островского улица                                                	вулиця Островського
Панфілова вулиця;Панфилова улица                                                     	вулиця Панфілова
Першого Травня вулиця;1 Травня вулиця                                                	вулиця 1 Травня
Першотравнева вулиця ; Первомайская улица                                            	Першотравнева вулиця
Першотравнева вулиця;Первомайская улица;Pershotravneva Street;Pervomayskaya Street   	Першотравнева вулиця
Першотравневий провулок;Pershotravnevyi Lane;Pervomayskiy Lane;Первомайский переулок 	Першотравневий провулок
Петровского улица ; петровського вулиця                                              	вулиця Петровського
Петровського вулиця ; петровского улица                                              	вулиця Петровського
Пролетарська вулиця ; Пролетарская улица                                             	Пролетарська вулиця
Пролетарська вулиця ; пролетарская улица                                             	Пролетарська вулиця
Пугачова вулиця ; Пугачева улица                                                     	вулиця Пугачова
Пушкина переулок ; Пушкіна провулок                                                  	провулок Пушкіна
Пушкіна провулок ; Пушкина переулок                                                  	провулок Пушкіна
Пушкіна тупик ; Пушкина тупик                                                        	тупик Пушкіна
Пушкінська вулиця ; Пушкинская улица                                                 	Пушкінська вулиця
Радянська вулиця ; Советская улицаi                                                  	Радянська вулиця
Радянський провулок ; Советский переулок                                             	Радянський провулок
Рози Люксембург вулиця;                                                              	вулиця Рози Люксембург
Рози Люксембург вулиця; Rosa Luxemburg Street                                        	вулиця Рози Люксембург
Сергія Лазо вулиця;улица Сергея Лазо;Serhiia Lazo Street                             	вулиця Сергія Лазо
Советская улица ; Радянська вулиця                                                   	Радянська вулиця
Суворова вулиця; улица Суворова;Suvorova Street                                      	вулиця Суворова
Суворова провулок; переулок Суворова;Suvorova Lane                                   	провулок Суворова
Тельмана вулиця;Thälmann Street                                                      	вулиця Тельмана
Толстого вулиця;Tolstogo Street;Tolstoho Street;Tolstoy Street                       	вулиця Толстого
Тімірязєва вулиця ; Тимирязєва вулиця ; Тимирязева улица                             	вулиця Тімірязєва
Тімірязєва вулиця;Тимирязева улица                                                   	вулиця Тімірязєва
Тітова вулиця;Титова улица                                                           	вулиця Тітова
Чайковського вулиця;Чайковского улица                                                	вулиця Чайковського
Чапаєва вулиця ; Чапаева улица                                                       	вулиця Чапаєва
Черняховського вулиця ; Черняхівського вулиця                                        	вулиця Черняхівського
Шевцової вулиця ; Шевцовой улица                                                     	вулиця Шевцової
будьоного вулиця;будьонного вулиця                                                   	вулиця Будьонного
леніна вулиця ; ленина улица                                                         	вулиця Леніна
переулок Тургенева;Тургенєва провулок;Turgeneva Lane;Turhenieva Lane                 	провулок Тургенєва
першого травня вулиця ; 1 Травня вулиця                                              	вулиця 1 Травня
першотравнева вулиця ; Первомайская улица                                            	Першотравнева вулиця
першотравнева вулиця ; первомайская улица                                            	Першотравнева вулиця
пушкіна вулиця ; пушкина улица                                                       	вулиця Пушкіна
пушкінська вулиця;Пушкинская улица                                                   	Пушкінська вулиця
улица Тургенева;Тургенэва вулиця;Turgeneva Street;Turhenieva Street                  	вулиця Тургенєва
улица Тургенева;Тургенєва вулиця;Turgeneva Street;Turhenieva Street                  	вулиця Тургенєва
1 травня вулиця                                                                      	вулиця 1 Травня
1-ий Індустріальний провулок                                                         	1-й Індустріальний провулок
1-й Степана Разіна провулок                                                          	1-й провулок Степана Разіна
2-ий Індустріальний провулок                                                         	2-й Індустріальний провулок
2-ий провулок Ватутіна                                                               	2-й провулок Ватутіна
2-й Степана Разіна провулок                                                          	2-й провулок Степана Разіна
3-ий провулок Ватутіна                                                               	3-й провулок Ватутіна
3-й Степана Разіна провулок                                                          	3-й провулок Степана Разіна
4-й Степана Разіна провулок                                                          	4-й провулок Степана Разіна
600-річчя Ярмолинець площа                                                           	площа 600-річчя Ярмолинець
9 травня вулиця                                                                      	вулиця 9 Травня
Антона Одухи вулиця                                                                  	вулиця Антона Одухи
Атамана Володимира вулиця                                                            	вулиця Володимира Атамана
Батуніна вулиця                                                                      	вулиця Батуніна
Богуцького вулиця                                                                    	вулиця Богуцького
Болбочана Петра вулиця                                                               	вулиця Петра Болбочана
Білаша Олександра вулиця                                                             	вулиця Олександра Білаша
В'ячеслава Слободяна вулиця                                                          	вулиця Вʼячеслава Слободяна
В. Мельниченка вулиця                                                                	вулиця В. Мельниченка
Велика Закузьминська вулиця                                                          	Велика Закузьминська вулиця
Веретка Івана вулиця                                                                 	вулиця Івана Веретка
Володимира Дубініна провулок                                                         	провулок Володимира Дубініна
Вулиця Загора                                                                        	вулиця Загора
Віри, Надії, Любові вулиця                                                           	вулиця Віри, Надії, Любові
Генерала Павловського вулиця                                                         	вулиця Генерала Павловського
Героя України Олега Довгого вулиця                                                   	вулиця Героя України Олега Довгого
Гончара Олеся вулиця                                                                 	вулиця Олеся Гончара
Гончара Олеся провулок                                                               	провулок Олеся Гончара
Григорія Варавіна вулиця                                                             	вулиця Григорія Варавіна
Даниила Галицкого улица                                                              	вулиця Данила Галицького
Дерев'яний місток                                                                    	Деревʼяний місток
Дмитра Лелюшенка вулиця                                                              	вулиця Дмитра Лелюшенка
Донцова Дмитра вулиця                                                                	вулиця Дмитра Донцова
Донцова Дмитра провулок                                                              	провулок Дмитра Донцова
Драча Івана вулиця                                                                   	вулиця Івана Драча
Заньковецької Марії вулиця                                                           	вулиця Марії Заньковецької
Клена Юрія вулиця                                                                    	вулиця Юрія Клена
Кожедуба Івана вулиця                                                                	вулиця Івана Кожедуба
Косача Юрія вулиця                                                                   	вулиця Юрія Косача
Кримського Агатангела вулиця                                                         	вулиця Агатангела Кримського
Крушельницької Соломії провулок                                                      	провулок Соломії Крушельницької
Кушнірука Олександра вулиця                                                          	вулиця Олександра Кушнірука
Лазаря Паперника вулиця                                                              	вулиця Лазаря Паперника
МТС провулок                                                                         	провулок МТС
Мамайсура Бориса вулиця                                                              	вулиця Бориса Мамайсура
Матроса Железняка улица                                                              	вулиця Матроса Железняка
Миколи Манькевича вулиця                                                             	вулиця Миколи Манькевича
Миколи Чорнобрового вулиця                                                           	вулиця Миколи Чорнобривого
Миру вул                                                                             	вулиця Миру
Миру вулмця                                                                          	вулиця Миру
Олеся Олександра провулок                                                            	провулок Олеся Олександра
Ольжича Олега провулок                                                               	провулок Олега Ольжича
Олімпіади 80 вулиця                                                                  	вулиця Олімпіади-80
Ореховая улица                                                                       	Горіхова вулиця
Патона Бориса вулиця                                                                 	вулиця Бориса Патона
Патона Бориса провулок                                                               	провулок Бориса Патона
Первомайская улица                                                                   	Першотравнева вулиця
Площа Свободи                                                                        	площа Свободи
Пров. Незалежності                                                                   	провулок Незалежності
Пров. Суворова                                                                       	провулок Суворова
Пров. Шкільний                                                                       	Шкільний провулок
Пров.Артільний                                                                       	Артільний провулок
Пров.Вокзальний                                                                      	Вокзальний провулок
Пров.Малий                                                                           	Малий провулок
Пров.Польовий                                                                        	Польовий провулок
Пров.Поштовий                                                                        	Поштовий провулок
Пров.Робочий                                                                         	Робочий провулок
Пров.Червоний                                                                        	Червоний провулок
Прокопюка вулиця                                                                     	вулиця Прокопюка
Проскуровская улица                                                                  	Проскурівська вулиця
Самчука Уласа вулиця                                                                 	вулиця Уласа Самчука
Свидницького Анатолія вулиця                                                         	вулиця Анатолія Свидницького
Свердлова переулок                                                                   	провулок Свердлова
