.Сонячна вулиця                                                         	Сонячна вулиця
Ріхарда Зорге провулок                                                  	провулок Ріхарда Зорге
Робкорівська вулиця;Робкоровська вулиця                                 	Робкорівська вулиця
Ровесникiв вулиця                                                       	вулиця Ровесників
Роговенка вулиця                                                        	вулиця Роговенка
Родини Матушевських вулиця                                              	вулиця Родини Матушевських
Родини Онищенків вулиця                                                 	вулиця Родини Онищенків
Родини Онищенків провулок                                               	провулок Родини Онищенків
Родини Симиренків вулиця                                                	вулиця Родини Симиренків
Родини Ханенків вулиця                                                  	вулиця Родини Ханенків
Розвідників вулиця                                                      	вулиця Розвідників
Рози Люксембург вулиця                                                  	вулиця Рози Люксембург
Рози Люксембург провулок                                                	провулок Рози Люксембург
Рокоссовського вулиця;Рокосовського вулиця                              	вулиця Рокоссовського
Роксолани вулиця                                                        	вулиця Роксолани
Романа Горбенка вулиця                                                  	вулиця Романа Горбенка
Романа Дашкевича вулиця                                                 	вулиця Романа Дашкевича
Романа Куща вулиця                                                      	вулиця Романа Куща
Романа Шухевича вулиця                                                  	вулиця Романа Шухевича
Романенка вулиця                                                        	вулиця Романенка
Романтиків вулиця                                                       	вулиця Романтиків
Ромашків вулиця                                                         	вулиця Ромашків
Ромашок вулиця                                                          	вулиця Ромашок
Росинка вулиця                                                          	вулиця Росинка
Росьовий вулиця                                                         	вулиця Росьовий
Ротманського вулиця                                                     	вулиця Ротманського
Рубаника вулиця                                                         	вулиця Рубаника
Руданського вулиця                                                      	вулиця Руданського
Руднєва вулиця                                                          	вулиця Руднєва
Руднєва провулок                                                        	провулок Руднєва
Рудыковская                                                             	Рудиковська
Руслана Дичка вулиця                                                    	вулиця Руслана Дичка
Руслана Степури вулиця                                                  	вулиця Руслана Степури
Рябоконя вулиця                                                         	вулиця Рябоконя
С. Крушельницької вулиця                                                	вулиця С. Крушельницької
С. Тюленіна вулиця                                                      	вулиця С. Тюленіна
Сабурова вулиця                                                         	вулиця Сабурова
Савеги вулиця                                                           	вулиця Савеги
Сави Освященного вулиця                                                 	вулиця Сави Освященного
Савченка вулиця                                                         	вулиця Савченка
Савченко вулиця                                                         	вулиця Савченко
Сагайдачного вулиця                                                     	вулиця Сагайдачного
Сагайдачного провулок                                                   	провулок Сагайдачного
Садова  вулиця                                                          	Садова вулиця
Садова 12-та лінія вулиця                                               	вулиця 12-та Садова Лінія
Садова 2-га вулиця                                                      	2-га Садова вулиця
Садова вул                                                              	Садова вулиця
Садова вулица                                                           	Садова вулиця
Садовий №1 провулок                                                     	1-й Садовий провулок
Садовий №2 провулок                                                     	2-й Садовий провулок
Садовий №3 провулок                                                     	3-й Садовий провулок
Садовий №4 провулок                                                     	4-й Садовий провулок
Садовий №5 провулок                                                     	5-й Садовий провулок
Садово – Янтарна вулиця                                                 	Садово-Янтарна вулиця
Садовского вулиця                                                       	вулиця Садовского
Садовського вулиця                                                      	вулиця Садовського
Саксаганського вулиця                                                   	вулиця Саксаганського
Салавата Юлаєва вулиця                                                  	вулиця Салавата Юлаєва
Самійло Кішки вулиця                                                    	вулиця Самійло Кішки
Самойленка вулиця                                                       	вулиця Самойленка
Саносвітній провулок                                                    	провулок Саносвітній
Сапегіна вулиця                                                         	вулиця Сапегіна
Свдова вулиця                                                           	Садова вулиця
Свердлова вулиця                                                        	вулиця Свердлова
Свірського Олександра вулиця                                            	вулиця Олександра Свірського
Свободи вулиця                                                          	вулиця Свободи
Свободи провулок                                                        	провулок Свободи
Святого Миколая вулиця                                                  	вулиця Святого Миколая
Святослава Князя вулиця                                                 	вулиця Святослава Князя
Святотроецкая                                                           	Святотроїцька
Севастьяна провулок                                                     	провулок Севастьяна
Севастяна вулиця                                                        	вулиця Севастяна
Северина Наливайка вулиця                                               	вулиця Северина Наливайка
село Олександрівка, вулиця Західна                                      	Західна вулиця
село Олександрівка, вулиця Центральна                                   	Центральна вулиця
Семашка вулиця                                                          	вулиця Семашка
Семена Білого вулиця                                                    	вулиця Семена Білого
Семена Палія вулиця                                                     	вулиця Семена Палія
Семена Петлюри вулиця                                                   	вулиця Семена Петлюри
Семенця вулиця                                                          	вулиця Семенця
Семиградової вулиця                                                     	вулиця Семиградової
Семиренка вулиця                                                        	вулиця Семиренка
Серафимовича вулиця                                                     	вулиця Серафимовича
Серафимовича улица                                                      	вулиця Серафимовича
Сергіенко вулиця                                                        	вулиця Сергіенко
Сергієнка вулиця                                                        	вулиця Сергієнка
Сергієнко вулиця                                                        	вулиця Сергієнко
Сергієнко провулок                                                      	провулок Сергієнко
Сергія Альмужного вулиця                                                	вулиця Сергія Альмужного
Сергія Басова вулиця                                                    	вулиця Сергія Басова
Сергія Бондарчука вулиця                                                	вулиця Сергія Бондарчука
Сергія Єсеніна вулиця                                                   	вулиця Сергія Єсеніна
Сергія Корольова вулиця                                                 	вулиця Сергія Корольова
Сергія Корольова провулок                                               	провулок Сергія Корольова
Сергія Кравченка вулиця                                                 	вулиця Сергія Кравченка
Сергія Лазо вулиця                                                      	вулиця Сергія Лазо
Сергія Нігояна вулиця                                                   	вулиця Сергія Нігояна
Сергія Олексієнка вулиця                                                	вулиця Сергія Олексієнка
Сергія Слободянюка вулиця                                               	вулиця Сергія Слободянюка
Сергія Цимбала вулиця                                                   	вулиця Сергія Цимбала
Сергія Шамрая вулиця                                                    	вулиця Сергія Шамрая
Сердитова вулиця                                                        	вулиця Сердитова
Середи вулиця                                                           	вулиця Середи
Середи провулок                                                         	провулок Середи
Сержанта Лазарева вулиця                                                	вулиця Сержанта Лазарева
Сестер Куянових вулиця                                                  	вулиця Сестер Куянових
Сєдова вулиця                                                           	вулиця Сєдова
Сєрова вулиця                                                           	вулиця Сєрова
Сєрова провулок                                                         	провулок Сєрова
Силенка вулиця                                                          	вулиця Силенка
Силкіних вулиця                                                         	вулиця Силкіних
Симиренка вулиця                                                        	вулиця Симиренка
Симона Петлюри вулиця                                                   	вулиця Симона Петлюри
Симоненка вулиця                                                        	вулиця Симоненка
Симоненка провулок                                                      	провулок Симоненка
Синельникова вулиця                                                     	вулиця Синельникова
Синявського вулиця                                                      	вулиця Синявського
Сисолятіна вулиця;Sysoliatina Street                                    	вулиця Сисолятіна
Ситника вулиця                                                          	вулиця Ситника
Сіверка вулиця                                                          	вулиця Сіверка
Сікорського вулиця                                                      	вулиця Сікорського
Сікорського Михайла вулиця                                              	вулиця Михайла Сікорського
Сільгосп Технікум вулиця                                                	вулиця Сільгосп Технікум
Сім'ї Клименків вулиця                                                  	вулиця Сімʼї Клименків
Сім’ї Дяківських вулиця                                                 	вулиця Сімʼї Дяківських
Сім’ї Кістяківських вулиця                                              	вулиця Сімʼї Кістяківських
Сіндрякова вулиця ;Синдрякова улица                                     	вулиця Сіндрякова
Січневого Повстання вулиця                                              	вулиця Січневого Повстання
Січневого Прориву вулиця                                                	вулиця Січневого Прориву
Січових Стрільців вулиця                                                	вулиця Січових Стрільців
Сковороди вулиця                                                        	вулиця Сковороди
Сковороди Григорія вулиця                                               	вулиця Григорія Сковороди
Сковороди провулок                                                      	провулок Сковороди
Скушнікова вулиця                                                       	вулиця Скушнікова
Слабенюка вулиця                                                        	вулиця Слабенюка
Слави алея                                                              	алея Слави
Слави вулиця                                                            	вулиця Слави
Слави площа                                                             	площа Слави
Славы                                                                   	Слави
Сліпенчука вулиця                                                       	вулиця Сліпенчука
Слобода вулиця                                                          	вулиця Слобода
Слов'янська вулиця                                                      	Словʼянська вулиця
Слов’янська вулиця                                                      	Словʼянська вулиця
Слов’янський провулок                                                   	Словʼянський провулок
Слуцька вулиця;Slutska Street                                           	Слуцька вулиця
Снайпер квартал                                                         	квартал Снайпер
Снайпера вулиця                                                         	вулиця Снайпера
Снігурова вулиця                                                        	вулиця Снігурова
Сніцера вулиця                                                          	вулиця Сніцера
Соборнв вулиця                                                          	Соборна вулиця
Соборности улица                                                        	вулиця Соборності
Соборності вулиця                                                       	вулиця Соборності
Соборності провулок                                                     	провулок Соборності
Солов'їна вулиця                                                        	Соловʼїна вулиця
Солов'їна вулиця / Богданівська вулиця                                  	Соловʼїна вулиця / Богданівська вулиця
Солов‘їна вулиця                                                        	Соловʼїна вулиця
Солов’їна вулиця                                                        	Соловʼїна вулиця
Солов’їний провулок                                                     	Соловʼїний провулок
Сологуба вулиця                                                         	вулиця Сологуба
Солом’янська вулиця                                                     	Соломʼянська вулиця
Солонці вулиця                                                          	вулиця Солонці
Сосніних вулиця                                                         	вулиця Сосніних
Сосюри вулиця                                                           	вулиця Сосюри
Софії Русової вулиця                                                    	вулиця Софії Русової
Софіївська вул.                                                         	Софіївська вулиця
Спартак вулиця                                                          	вулиця Спартак
Спасская                                                                	Спаська
Спасiвська вулиця                                                       	Спасівська вулиця
Спеціалістів вулиця                                                     	вулиця Спеціалістів
Спецiалiстiв вулиця                                                     	вулиця Спеціалістів
Спостережна станція вулиця                                              	вулиця Спостережна Станція
Ст. Разіна вулиця                                                       	вулиця Степана Разіна
Став'янський провулок                                                   	Ставʼянський провулок
Став’янка вулиця                                                        	вулиця Ставʼянка
Стадiонна вулиця                                                        	Стадіонна вулиця
Старий Шлях вулиця                                                      	вулиця Старий Шлях
Старикова вулиця                                                        	вулиця Старикова
Старинці вулиця                                                         	вулиця Старинці
старожитомирська                                                        	Старожитомирська вулиця
Старосільска вулиця                                                     	Старосільська вулиця
Старосiльська вулиця                                                    	Старосільська вулиця
Старчеуса вулиця                                                        	вулиця Старчеуса
Стаханова вулиця                                                        	вулиця Стаханова
Стельмащука вулиця                                                      	вулиця Стельмащука
Степана Бандери вулиця                                                  	вулиця Степана Бандери
Степана Бандери провулок                                                	провулок Степана Бандери
Степана Васильченка вулиця                                              	вулиця Степана Васильченка
Степана Разіна вулиця                                                   	вулиця Степана Разіна
Степана Руданського вулиця                                              	вулиця Степана Руданського
Степаненка Леоніда вулиця                                               	вулиця Леоніда Степаненка
Стефана Лозьки вулиця                                                   	вулиця Стефана Лозьки
Стефаника вулиця                                                        	вулиця Стефаника
Стеценка вулиця                                                         	вулиця Стеценка
Стеценка провулок                                                       	провулок Стеценка
Стовби вулиця                                                           	вулиця Стовби
Стожари вулиця                                                          	вулиця Стожари
Стройнюка вулиця                                                        	вулиця Стройнюка
Стуса Василя вулиця                                                     	вулиця Василя Стуса
Стуса вулиця                                                            	вулиця Стуса
Суворова вулиця                                                         	вулиця Суворова
Суворова провулок                                                       	провулок Суворова
Суворова улица                                                          	вулиця Суворова
Сулими вулиця                                                           	вулиця Сулими
Сухомлинського вулиця                                                   	вулиця Сухомлинського
Східна - I вулиця                                                       	1-ша Східна вулиця
Східна - II вулиця                                                      	2-га Східна вулиця
Східного вітру вулиця                                                   	вулиця Східного Вітру
Сiчнева вулиця                                                          	Січнева вулиця
Т. Г. Шевченка вулиця                                                   	вулиця Т. Г. Шевченка
Танкистів вулиця                                                        	вулиця Танкістів
Танкістів вулиця                                                        	вулиця Танкістів
Танкістів провулок                                                      	провулок Танкістів
Тараса Ковальського вулиця                                              	вулиця Тараса Ковальського
Тараса Федоровича вулиця                                                	вулиця Тараса Федоровича
Тараса Шевченка бульвар                                                 	бульвар Тараса Шевченка
Тараса Шевченка вулиця                                                  	вулиця Тараса Шевченка
Тараса Шевченка провулок                                                	провулок Тараса Шевченка
Таращанського Полку вулиця                                              	вулиця Таращанського Полку
Татарка вулиця                                                          	вулиця Татарка
Теліги Олени вулиця                                                     	вулиця Олени Теліги
Тельмана вулиця                                                         	вулиця Тельмана
Тельмана провулок                                                       	провулок Тельмана
Теодора Дячуна вулиця                                                   	вулиця Теодора Дячуна
Терешківка вулиця                                                       	вулиця Терешківка
Терешкової вулиця                                                       	вулиця Терешкової
Терешкової провулок                                                     	провулок Терешкової
Терникова вулиця                                                        	вулиця Терникова
Тернового  вулиця                                                       	вулиця Тернового
Тесленка вулиця                                                         	вулиця Тесленка
Тетяни Тугай вулиця                                                     	вулиця Тетяни Тугай
Тетяни Чиженко вулиця                                                   	вулиця Тетяни Чиженко
Тимірязєва вулиця                                                       	вулиця Тимірязєва
Тимофія Рудяка вулиця                                                   	вулиця Тимофія Рудяка
Тимофія Рудяка провулок                                                 	провулок Тимофія Рудяка
Титенка провулок;Тітенко провулок                                       	провулок Титенка
Титенко вулиця                                                          	вулиця Титенко
Титова провулок                                                         	провулок Титова
Тичини вулиця                                                           	вулиця Тичини
Тичини провулок                                                         	провулок Тичини
Тишури вулиця                                                           	вулиця Тишури
Тімірязева вулиця                                                       	вулиця Тімірязева
Тімірязєва вулиця                                                       	вулиця Тімірязєва
Тімірязєва провулок                                                     	провулок Тімірязєва
Тітенко вулиця;Титенко вулиця                                           	вулиця Тітенко
Тітова вулиця                                                           	вулиця Тітова
Товаровського вулиця                                                    	вулиця Товаровського
Толочина вулиця                                                         	вулиця Толочина
толстого вулиця                                                         	вулиця Толстого
Толстого вулиця                                                         	вулиця Толстого
толстого провулок                                                       	провулок Толстого
Толстого провулок                                                       	провулок Толстого
Торф`яна вулиця                                                         	Торфʼяна вулиця
Торфяна вулиця                                                          	Торфʼяна вулиця
Торфяний провулок                                                       	Торфʼяний провулок
Третя Лінія вулиця                                                      	вулиця 3-тя Лінія
Тромси вулиця                                                           	вулиця Тромси
Трохименка вулиця                                                       	вулиця Трохименка
Троянд вулиця                                                           	вулиця Троянд
Трубiжський провулок                                                    	Трубіжський провулок
Трубiзька вулиця                                                        	Трубізька вулиця
Труда вулиця                                                            	вулиця Труда
тумакшина вулиця                                                        	вулиця Тумакшина
Туполєва вулиця                                                         	вулиця Туполєва
Тургенева вулиця                                                        	вулиця Тургенева
Тургенєва вулиця                                                        	вулиця Тургенєва
Тургенєва провулок                                                      	провулок Тургенєва
Тургєнєва вулиця                                                        	вулиця Тургєнєва
Туриха вулиця                                                           	вулиця Туриха
Туховського вулиця                                                      	вулиця Туховського
Тхоржевського вулиця                                                    	вулиця Тхоржевського
Тюльпанів вулиця                                                        	вулиця Тюльпанів
Уварова вулиця                                                          	вулиця Уварова
Українка вулиця                                                         	вулиця Українка
Уласа Самчука вулиця                                                    	вулиця Уласа Самчука
улица Брусиловского                                                     	вулиця Брусилівського
улица Генерала Ватутина                                                 	вулиця Генерала Ватутіна
улица Обуховское шоссе-2                                                	вулиця Обухівське Шосе 2
улица Орджоникидзе                                                      	вулиця Орджонікідзе
улица Симиренко                                                         	вулиця Симиренко
Ульянових вулиця                                                        	вулиця Ульянових
Уляни Піддубної вулиця                                                  	вулиця Уляни Піддубної
Урицького вулиця                                                        	вулиця Урицького
Урочище Могилянське                                                     	Могилянське урочище
Устинова вулиця                                                         	вулиця Устинова
Ушакова вулиця                                                          	вулиця Ушакова
Ф. Валявки вулиця                                                       	вулиця Ф. Валявки
Фадєєва вулиця                                                          	вулиця Фадєєва
Фадєєва провулок                                                        	провулок Фадєєва
Фастова вулиця                                                          	вулиця Фастова
Федіра Черника вулиця                                                   	вулиця Федіра Черника
Федіра Черника провулок                                                 	провулок Федіра Черника
Федора Лободи вулиця                                                    	вулиця Федора Лободи
Федорова вулиця                                                         	вулиця Федорова
Фельдмана вулиця                                                        	вулиця Фельдмана
Феодосія Печерського вулиця                                             	вулиця Феодосія Печерського
Філатова вулиця                                                         	вулиця Філатова
Філіпова вулиця                                                         	вулиця Філіпова
Флавіана Василевського вулиця                                           	вулиця Флавіана Василевського
Фокіна вулиця                                                           	вулиця Фокіна
Фоміна вулиця                                                           	вулиця Фоміна
Фомічова вулиця                                                         	вулиця Фомічова
Фофанова вулиця                                                         	вулиця Фофанова
Франка вулиця                                                           	вулиця Франка
Франка Івана вулиця                                                     	вулиця Івана Франка
Франка провулок                                                         	провулок Франка
Французький бульвар вулиця                                              	вулиця Французький Бульвар
Фруктових садів вулиця                                                  	вулиця Фруктових Садів
Фруктових садів провулок                                                	провулок Фруктових Садів
фрунзе вулиця                                                           	вулиця Фрунзе
Фрунзе вулиця                                                           	вулиця Фрунзе
Фрунзе провулок                                                         	провулок Фрунзе
Фурманова вулиця                                                        	вулиця Фурманова
Фурсівська 1 квартал вулиця                                             	1-й квартал Фурсівської вулиці
Фурсівська 2 квартал вулиця                                             	2-й квартал Фурсівської вулиці
Фурсівська 3 квартал вулиця                                             	3-й квартал Фурсівської вулиці
Фурсівська 4 квартал вулиця                                             	4-й квартал Фурсівської вулиці
Хамбіра вулиця                                                          	вулиця Хамбіра
Харлампієва вулиця                                                      	вулиця Харлампієва
Харченка вулиця                                                         	вулиця Харченка
Хмельницького Богдана вулиця                                            	вулиця Богдана Хмельницького
Хмельницького вулиця                                                    	вулиця Хмельницького
Ходимчука вулиця                                                        	вулиця Ходимчука
Холодкова вулиця                                                        	вулиця Холодкова
Холодного вулиця                                                        	вулиця Холодного
Хоменка вулиця                                                          	вулиця Хоменка
Хоменка провулок                                                        	провулок Хоменка
Хохрякова вулиця                                                        	вулиця Хохрякова
Хохрякова провулок                                                      	провулок Хохрякова
Хрещатик вулиця                                                         	вулиця Хрещатик
Хрещатик провулок                                                       	провулок Хрещатик
Хризантем вулиця                                                        	вулиця Хризантем
Христини Цуприк вулиця                                                  	вулиця Христини Цуприк
Христюка вулиця                                                         	вулиця Христюка
Худайбергенова вулиця                                                   	вулиця Худайбергенова
Хутір Бондарівка вулиця                                                 	вулиця Хутір Бондарівка
Хутір Луговий вулиця                                                    	вулиця Хутір Луговий
Хутір Надія вулиця                                                      	вулиця Хутір Надія
Цвєткова вулиця                                                         	вулиця Цвєткова
Цвілія вулиця                                                           	вулиця Цвілія
Цвіткова вулиця                                                         	вулиця Цвіткова
Центр вулиця                                                            	вулиця Центр
Центральна  вулиця                                                      	Центральна вулиця
Центральна паркова алея                                                 	Центральна Паркова алея
Центральная(Ленина)                                                     	Центральна
Ціолковського вулиця                                                    	вулиця Ціолковського
Ціолковського провулок                                                  	провулок Ціолковського
Цукровиків вулиця                                                       	вулиця Цукровиків
Чайка вулиця                                                            	вулиця Чайка
Чайки вулиця                                                            	вулиця Чайки
чайковського вулиця                                                     	вулиця Чайковського
Чайковського вулиця                                                     	вулиця Чайковського
Чапаєва вулиця                                                          	вулиця Чапаєва
Чапаєва вулиця ; Чапаева улица                                          	вулиця Чапаєва
Чапаєва вулиця ;Чапаева улица                                           	вулиця Чапаєва
Чапаєва вулиця, Кожедуба вулиця                                         	вулиця Чапаєва, вулиця Кожедуба
Чапаєва провулок                                                        	провулок Чапаєва
Чекістів провулок                                                       	провулок Чекістів
челюскіна вулиця                                                        	вулиця Челюскіна
Челюскіна вулиця                                                        	вулиця Челюскіна
Челюскіна провулок                                                      	провулок Челюскіна
