Абдалієва вулиця	вулиця Абдалієва
Сергея Лазо вулиця	вулиця Сергея Лазо
Сергіїва вулиця	вулиця Сергіїва
Серго вулиця	вулиця Серго
Серго Орджонікідзе вулиця	вулиця Серго Орджонікідзе
Сердечнюка вулиця	вулиця Сердечнюка
Середній Гай вулиця	вулиця Середній Гай
Середній Десяток вулиця	вулиця Середній Десяток
Середня вулиця	вулиця Середня
Серет вулиця	вулиця Серет
Серп і Молот вулиця	вулиця Серп і Молот
Сеспеля вулиця	вулиця Сеспеля
Сечені вулиця	вулиця Сечені
Сєвєрная вулиця	Сєвєрная вулиця
Сєднєва вулиця	вулиця Сєднєва
Сиваша вулиця	вулиця Сиваша
Сивулька вулиця	вулиця Сивулька
Сидоришина вулиця	вулиця Сидоришина
Сидоряка вулиця	вулиця Сидоряка
Сикалка вулиця	вулиця Сикалка
Силакових вулиця	вулиця Силакових
Силкіних вулиця	вулиця Силкіних
Синовця вулиця	вулиця Синовця
Синько вулиця	вулиця Синько
Синя вулиця	Синя вулиця
Сиренєва вулиця	вулиця Сиренєва
Сировця вулиця	вулиця Сировця
Сіверка вулиця	вулиця Сіверка
Сіверса вулиця	вулиця Сіверса
Сіґет вулиця	вулиця Сіґет
Сіді Таль вулиця	вулиця Сіді Таль
Сілаєва вулиця	вулиця Сілаєва
Сілваї вулиця	вулиця Сілваї
Сільваші вулиця	вулиця Сільваші
Сільвая вулиця	вулиця Сільвая
Сільгосп Технікум вулиця	вулиця Сільгосп Технікум
Сільце вулиця	вулиця Сільце
Сім'ї Розумовських вулиця	вулиця Сімʼї Розумовських
Сім'ї Сосніних вулиця	вулиця Сімʼї Сосніних
Сім’ї Дяківських вулиця	вулиця Сімʼї Дяківських
Сім’ї Ідзиковських вулиця	вулиця Сімʼї Ідзиковських
Сім’ї Кістяківських вулиця	вулиця Сімʼї Кістяківських
Сім’ї Колессів вулиця	вулиця Сімʼї Колессів
Сім’ї Красовських вулиця	вулиця Сімʼї Красовських
Сім’ї Прахових вулиця	вулиця Сімʼї Прахових
Сім’ї Розумовських вулиця	вулиця Сімʼї Розумовських
Сім’ї Сосніних вулиця	вулиця Сімʼї Сосніних
Сім’ї Хохлових вулиця	вулиця Сімʼї Хохлових
Сім’ї Шкарівських вулиця	вулиця Сімʼї Шкарівських
Сім’ї Шовкоплясів вулиця	вулиця Сімʼї Шовкоплясів
Сімʼї Бродських вулиця	вулиця Сімʼї Бродських
Сімʼї Житецьких вулиця	вулиця Сімʼї Житецьких
Сінічина вулиця	вулиця Сінічина
Сінько вулиця	вулиця Сінько
Сіра вулиця	Сіра вулиця
Сіренєва вулиця	вулиця Сіренєва
Сірко вулиця	вулиця Сірко
Сірожупанної Дивізії вулиця	вулиця Сірожупанної Дивізії
Сіропупа вулиця	вулиця Сіропупа
Січі вулиця	вулиця Січі
Скалевата вулиця	вулиця Скалевата
Скаліка вулиця	вулиця Скаліка
Сквер вулиця	вулиця Сквер
Скеляста вулиця	Скеляста вулиця
Скітник вулиця	вулиця Скітник
Скобелка вулиця	вулиця Скобелка
Скоблі вулиця	вулиця Скоблі
Скоропадських вулиця	вулиця Скоропадських
Скотаря вулиця	вулиця Скотаря
Скринько вулиця	вулиця Скринько
Скубана вулиця	вулиця Скубана
Слабенюка вулиця	вулиця Слабенюка
Слідопитів вулиця	вулиця Слідопитів
Сліпа вулиця	Сліпа вулиця
Слобідка вулиця	вулиця Слобідка
Слобода вулиця	вулиця Слобода
Слободянука вулиця	вулиця Слободянука
Слупачика вулиця	вулиця Слупачика
Слуха вулиця	вулиця Слуха
Смерічка вулиця	вулиця Смерічка
Сміла вулиця	Сміла вулиця
Сміливих вулиця	вулиця Сміливих
Смолокур вулиця	вулиця Смолокур
Смолярня вулиця	вулиця Смолярня
Снайпера вулиця	вулиця Снайпера
Снігурі вулиця	вулиця Снігурі
Снігурових вулиця	вулиця Снігурових
Собесяка вулиця	вулиця Собесяка
Соболина вулиця	вулиця Соболина
Соборнв вулиця	Соборна вулиця
Собрана вулиця	Собрана вулиця
Совєтов вулиця	вулиця Совєтов
Совхозная вулиця	Совхозная вулиця
Совхутір вулиця	вулиця Совхутір
Соколина вулиця	Соколина вулиця
Соколовських вулиця	вулиця Соколовських
Солобаєва вулиця	вулиця Солобаєва
Солов'їна вулиця	Соловʼїна вулиця
Солов‘їна вулиця	Соловʼїна вулиця
Солов’ їна вулиця	Соловʼїна вулиця
Солов’їна вулиця	Соловʼїна вулиця
Солов`їна вулиця	Соловʼїна вулиця
Соловійка вулиця	вулиця Соловійка 
Соловїна вулиця	Соловʼїна вулиця
Соловйових вулиця	вулиця Соловйових
Соловчиння вулиця	вулиця Соловчиння
Соловʼїна вулиця	Соловʼїна вулиця
Солоджука вулиця	вулиця Солоджука
Солодка вулиця	Солодка вулиця
Солом’янка вулиця	вулиця Соломʼянка
Солонці вулиця	вулиця Солонці
Сонця вулиця	вулиця Сонця
Сонячня вулиця	Сонячня вулиця
Сорокаріччя Жовтня вулиця	вулиця Сорокаріччя Жовтня
Сороханка вулиця	вулиця Сороханка
Сороча вулиця	Сороча вулиця
Сосніних вулиця	вулиця Сосніних
Сосонка вулиця	вулиця Сосонка
Сотні Спартана вулиця	вулиця Сотні Спартана
Сохора вулиця	вулиця Сохора
Соцгородок вулиця	вулиця Соцгородок
Соцмістечко вулиця	вулиця Соцмістечко
Соцпраці вулиця	вулиця Соцпраці
Союзу Українок вулиця	вулиця Союзу Українок
Спадиста вулиця	Спадиста вулиця
Спартак вулиця	вулиця Спартак
Спартана вулиця	вулиця Спартана
Спащина вулиця	вулиця Спащина
Спєшнєва вулиця	вулиця Спєшнєва
Співоча вулиця	Співоча вулиця
Співуча вулиця	Співуча вулиця
Спогадів вулиця	вулиця Спогадів
Сподівань вулиця	вулиця Сподівань
Спортмайдан вулиця	вулиця Спортмайдан
Спортсменів вулиця	вулиця Спортсменів
Спорту вулиця	вулиця Спорту
Спрейса вулиця	вулиця Спрейса
Спренжина вулиця	вулиця Спренжина
Спринька вулиця	вулиця Спринька
Спуск вулиця	вулиця Спуск
Спускна вулиця	Спускна вулиця
Сріблиста вулиця	Сріблиста вулиця
Сріблянка вулиця	вулиця Сріблянка
Срібляста вулиця	Срібляста вулиця
Став вулиця	вулиця Став
Став’янка вулиця	вулиця Ставʼянка
Ставище вулиця	вулиця Ставище
Стадіона вулиця	вулиця Стадіона
Сталеварів вулиця	вулиця Сталеварів
Станційне Селище вулиця	вулиця Станційне Селище
Станція Личаків вулиця	вулиця Станція Личаків
Старе Місто вулиця	вулиця Старе Місто
Старе Село вулиця	вулиця Старе Село
Стари Поділ вулиця	вулиця Стари Поділ
Старий Вал вулиця	вулиця Старий Вал
Старий вокзал вулиця	вулиця Старий Вокзал
Старий Куток вулиця	вулиця Старий Куток
Старий Поділ вулиця	вулиця Старий Поділ
Старий Ринок вулиця	вулиця Старий Ринок
Старий шлях вулиця	вулиця Старий Шлях
Старий Шлях вулиця	вулиця Старий Шлях
Старинці вулиця	вулиця Старинці
Старицьких вулиця	вулиця Старицьких
Стародавня вулиця	Стародавня вулиця
Старожилів вулиця	вулиця Старожилів
Старої Цегельні вулиця	вулиця Старої Цегельні
Старой село вулиця	вулиця Старой Село
Старокозармена вулиця	Старокозармена вулиця
Старокоротка вулиця	Старокоротка вулиця
Старосілля вулиця	вулиця Старосілля
Старчеуса вулиця	вулиця Старчеуса
Стасової вулиця	вулиця Стасової
Сташко вулиця	вулиця Сташко
Стеблиста вулиця	Стеблиста вулиця
Стеньгача вулиця	вулиця Стеньгача
Степанянця вулиця	вулиця Степанянця
Стефаніка вулиця	вулиця Стефаніка
Стефановичів вулиця	вулиця Стефановичів
Стефенсона вулиця	вулиця Стефенсона
Стефініних вулиця	вулиця Стефініних
Стєпная вулиця	Стєпная вулиця
Стила вулиця	вулиця Стила
Стінка вулиця	вулиця Стінка
Стожка вулиця	вулиця Стожка
Столбуна вулиця	вулиця Столбуна
Сторожниця вулиця	вулиця Сторожниця
Сторона вулиця	вулиця Сторона
Стратилата вулиця	вулиця Стратилата
Стратілана вулиця	вулиця Стратілана
Страчених вулиця	вулиця Страчених
Стрий вулиця	вулиця Стрий
Стрілка вулиця	вулиця Стрілка
Стрімка вулиця	Стрімка вулиця
Строитєля вулиця	вулиця Строитєля
Строїтелів вулиця	вулиця Строїтелів
Стройнюка вулиця	вулиця Стройнюка
Строколіса вулиця	вулиця Строколіса
Строна вулиця	вулиця Строна
Стронка вулиця	вулиця Стронка
Струве вулиця	вулиця Струве
Струглі вулиця	вулиця Струглі
Струмок вулиця	вулиця Струмок
Студена вулиця	Студена вулиця
Студенок вулиця	вулиця Студенок
Студенства вулиця	вулиця Студенства
Студентів вулиця	вулиця Студентів
Суанбаєва вулиця	вулиця Суанбаєва
Суботня вулиця	Суботня вулиця
Сугой вулиця	вулиця Сугой
Судейка вулиця	вулиця Судейка
Сумовиця вулиця	вулиця Сумовиця
Сумсько-Київських Дивізій вулиця	вулиця Сумсько-Київських Дивізій
Супутник вулиця	вулиця Супутник
Супутника вулиця	вулиця Супутника
Сурмичі вулиця	вулиця Сурмичі
Суровцевої вулиця	вулиця Суровцевої
Сусідня вулиця	Сусідня вулиця
Сутець вулиця	вулиця Сутець
Суха Воля вулиця	вулиця Суха Воля
Суха вулиця	Суха вулиця
Сухарєва вулиця	вулиця Сухарєва
Сухе-Батора вулиця	вулиця Сухе-Батора
Сухий Ізюмець вулиця	вулиця Сухий Ізюмець
Сухий Острів вулиця	вулиця Сухий Острів
Сухий Яр вулиця	вулиця Сухий Яр
Суховоля вулиця	вулиця Суховоля
Сухопілля вулиця	вулиця Сухопілля
Східно-Дальня вулиця	Східно-Дальня вулиця
Сябро вулиця	вулиця Сябро
Сяйво вулиця	вулиця Сяйво
Табла вулиця	вулиця Табла
Табукашвілі вулиця	вулиця Табукашвілі
Тадань вулиця	вулиця Тадань
Тадоровець вулиця	вулиця Тадоровець
Тайня вулиця	вулиця Тайня
Тайтек Потік вулиця	вулиця Тайтек Потік
Талалихина вулиця	вулиця Талалихина
Талічкадомб вулиця	вулиця Талічкадомб
Тамашина вулиця	вулиця Тамашина
Тампере вулиця	вулиця Тампере
Танєєва вулиця	вулиця Танєєва
Танкопія вулиця	вулиця Танкопія
Таньа вулиця	вулиця Таньа
Тарасів Шлях вулиця	вулиця Тарасів Шлях
Тарле вулиця	вулиця Тарле
Тарлє вулиця	вулиця Тарлє
Тарнавка вулиця	вулиця Тарнавка
Тарниця вулиця	вулиця Тарниця
Тарновських вулиця	вулиця Тарновських
Татарів Яр вулиця	вулиця Татарів Яр
Татарка вулиця	вулиця Татарка
Татарця вулиця	вулиця Татарця
Тацея вулиця	вулиця Тацея
Творимір вулиця	вулиця Творимір
Творча вулиця	Творча вулиця
Тевелєва вулиця	вулиця Тевелєва
Телев’яка вулиця	вулиця Телевʼяка
Телеграфна вулиця	Телеграфна вулиця
Теметев вулиця	вулиця Теметев
Темето вулиця	вулиця Темето
Темира вулиця	вулиця Темира
Темника вулиця	вулиця Темника
Темницьких вулиця	вулиця Темницьких
Темплом вулиця	вулиця Темплом
Тениста вулиця	Тениста вулиця
Тепла вулиця	Тепла вулиця
Терека вулиця	вулиця Терека
Терекшової вулиця	вулиця Терекшової
Терєшкової вулиця	вулиця Терешкової
Тернавіотів вулиця	вулиця Тернавіотів
Тернавка вулиця	вулиця Тернавка
Тернів вулиця	вулиця Тернів
Терпеливця вулиця	вулиця Терпеливця
Тєніста вулиця	Тєніста вулиця
Тєрєшкової вулиця	вулиця Терешкової
Тимирязєва вулиця	вулиця Тимирязєва
Тинка вулиця	вулиця Тинка
Тиса вулиця	вулиця Тиса
Тиха вулиця	Тиха вулиця
Тихе Життя вулиця	вулиця Тихе Життя
Тихий Кут вулиця	вулиця Тихий Кут
Тишика вулиця	вулиця Тишика
Тищика вулиця	вулиця Тищика
Тімірязєва вулиця	вулиця Тімірязєва
Тініста вулиця	Тініста вулиця
Тіноді вулиця	вулиця Тіноді
Ткачів вулиця	вулиця Ткачів
То-вар вулиця	вулиця То-вар
Тобілевічів вулиця	вулиця Тобілевічів
Товмацьке відділення вулиця	вулиця Товмацьке Відділення
Товсег вулиця	вулиця Товсег
Токаревських вулиця	вулиця Токаревських
Толбухина вулиця	вулиця Толбухина
Толді вулиця	вулиця Толді
Толочина вулиця	вулиця Толочина
Тольмаца вулиця	вулиця Тольмаца
Тольятті вулиця	вулиця Тольятті
Тонконіг вулиця	вулиця Тонконіг
Тонкочеєва вулиця	вулиця Тонкочеєва
Тонкошнура вулиця	вулиця Тонкошнура
Тополєва вулиця	вулиця Тополєва
Тополина вулиця	Тополина вулиця
Тополина Вулиця	Тополина вулиця
Топчиєва вулиця	вулиця Топчиєва
Торговиця вулиця	вулиця Торговиця
Трависта вулиця	Трависта вулиця
Трандафірілор вулиця	вулиця Трандафірілор
Транспортне шосе вулиця	вулиця Транспортне Шосе
Трачів вулиця	вулиця Трачів
Траян вулиця	вулиця Траян
Трембовецької вулиця	вулиця Трембовецької
Тригубенкових вулиця	вулиця Тригубенкових
Тридуба вулиця	вулиця Тридуба
Трінклера вулиця	вулиця Трінклера
Тростянець вулиця	вулиця Тростянець
Тростянка вулиця	вулиця Тростянка
Трохименкове вулиця	вулиця Трохименкове
Троянд вулиця	вулиця Троянд
Троянда вулиця	вулиця Троянда
Трубіцина вулиця	вулиця Трубіцина
Трублаїні вулиця	вулиця Трублаїні
Труда вулиця	вулиця Труда
Трударів вулиця	вулиця Трударів
Трудових резервів вулиця	вулиця Трудових Резервів
Трудових Резервів вулиця	вулиця Трудових Резервів
Трудової Алеї вулиця	вулиця Трудової Алеї
Труженіков вулиця	вулиця Труженіков
Трутка вулиця	вулиця Трутка
Труфанка вулиця	вулиця Труфанка
Труховської-Ванеєвої вулиця	вулиця Труховської-Ванеєвої
Трьох Космонавтів вулиця	вулиця Трьох Космонавтів
Туєва вулиця	вулиця Туєва
Тулянка вулиця	вулиця Тулянка
Тупа вулиця	Тупа вулиця
Тупик вулиця	вулиця Тупик
Тур’є Горішнє вулиця	вулиця Турʼє Горішнє
Тургєнєва вулиця	вулиця Тургєнєва
Туриха вулиця	вулиця Туриха
Турковичі вулиця	вулиця Турковичі
Турової вулиця	вулиця Турової
Туровца вулиця	вулиця Туровца
Турція вулиця	вулиця Турція
Тюменцева-Хвилі вулиця	вулиця Тюменцева-Хвилі
Ударник вулиця	вулиця Ударник
Ударника вулиця	вулиця Ударника
Узвіз вулиця	вулиця Узвіз
Уй вулиця	вулиця Уй
Уйварі вулиця	вулиця Уйварі
Уйшор вулиця	вулиця Уйшор
Українка вулиця	вулиця Українка
Українських воїнів вулиця	вулиця Українських Воїнів
Українських Героїв вулиця	вулиця Українських Героїв
Українських Захисниць вулиця	вулиця Українських Захисниць
Українських Космонавтів вулиця	вулиця Українських Космонавтів
Українських партизан вулиця	вулиця Українських Партизан
Українських Перемог вулиця	вулиця Українських Перемог
Українських соколів вулиця	вулиця Українських Соколів
Улан-Батора вулиця	вулиця Улан-Батора
Уличнянка вулиця	вулиця Уличнянка
Ульбріхта вулиця	вулиця Ульбріхта
Ульянових вулиця	вулиця Ульянових
Умивальня вулиця	вулиця Умивальня
Умникової вулиця	вулиця Умникової
УНР вулиця	вулиця УНР
Уншліхта вулиця	вулиця Уншліхта
Унявко вулиця	вулиця Унявко
УПА вулиця	вулиця УПА
Упіта вулиця	вулиця Упіта
Урбайліса вулиця	вулиця Урбайліса
Урочиста вулиця	Урочиста вулиця
Урочище За Заволом вулиця	вулиця Урочище За Заволом
Урочище іподром вулиця	вулиця Урочище Іподром
Урочище Святе вулиця	вулиця Урочище Святе
Урочище ферма вулиця	вулиця Урочище Ферма
Успенських вулиця	вулиця Успенських
Устияновичів вулиця	вулиця Устияновичів
учбове містечко ХНАУ вулиця	вулиця Учбове Містечко ХНАУ
Училищна вулиця	Училищна вулиця
Уютная вулиця	Уютная вулиця
Фаберже вулиця	вулиця Фаберже
Фабриціуса вулиця	вулиця Фабриціуса
Фабріціуса вулиця	вулиця Фабріціуса
Фадеєва вулиця	вулиця Фадеєва
Февут вулиця	вулиця Февут
Федорці вулиця	вулиця Федорці
Федько вулиця	вулиця Федько
Феєш вулиця	вулиця Феєш
Фелвег вулиця	вулиця Фелвег
Фелшо Мікефалва вулиця	вулиця Фелшо Мікефалва
Фені Мотильової вулиця	вулиця Фені Мотильової
Феньвеш вулиця	вулиця Феньвеш
Ферсмана вулиця	вулиця Ферсмана
Филона Джалалія вулиця	вулиця Филона Джалалія
Фігнера вулиця	вулиця Фігнера
Фігура вулиця	вулиця Фігура
Фікселя вулиця	вулиця Фікселя
Філіпських вулиця	вулиця Філіпських
Фінляндія вулиця	вулиця Фінляндія
Фіньов вулиця	вулиця Фіньов
Фісака вулиця	вулиця Фісака
Флоренції вулиця	вулиця Флоренції
Фогодо вулиця	вулиця Фогодо
Фогороші вулиця	вулиця Фогороші
Фоміних вулиця	вулиця Фоміних
Фонтене-су-Буа вулиця	вулиця Фонтене-су-Буа
Форраш вулиця	вулиця Форраш
Фотієвої вулиця	вулиця Фотієвої
Франко вулиця	вулиця Франко
Фрітаун вулиця	вулиця Фрітаун
Фролич вулиця	вулиця Фролич
Фруктових садів вулиця	вулиця Фруктових Садів
Фрунзе вулиця	вулиця Фрунзе
Фуко вулиця	вулиця Фуко
Фуріка вулиця	вулиця Фуріка
Фучіка вулиця	вулиця Фучіка
Фюзеш вулиця	вулиця Фюзеш
Фюрде вулиця	вулиця Фюрде
Хабаря вулиця	вулиця Хабаря
Хаврука вулиця	вулиця Хаврука
Халаменюка вулиця	вулиця Халаменюка
Халтурина вулиця	вулиця Халтурина
Хамбіра вулиця	вулиця Хамбіра
Хамковиця вулиця	вулиця Хамковиця
Хані вулиця	вулиця Хані
Харазії вулиця	вулиця Харазії
Харківських Дивізій вулиця	вулиця Харківських Дивізій
Харківця вулиця	вулиця Харківця
Харлампієва вулиця	вулиця Харлампієва
Харпака вулиця	вулиця Харпака
Хаткіної вулиця	вулиця Хаткіної
Хатрі вулиця	вулиця Хатрі
Хатхаз вулиця	вулиця Хатхаз
Хащ вулиця	вулиця Хащ
Хвилі Олентиря вулиця	вулиця Хвилі Олентиря
Хвиляста вулиця	Хвиляста вулиця
Хвої вулиця	вулиця Хвої
Хедь вулиця	вулиця Хедь
Химка вулиця	вулиця Химка
Химушина вулиця	вулиця Химушина
Хирів вулиця	вулиця Хирів
Хичія вулиця	вулиця Хичія
Хіміків вулиця	вулиця Хіміків
Хітєєва вулиця	вулиця Хітєєва
Хлібороб вулиця	вулиця Хлібороб
Хлібороба вулиця	вулиця Хлібороба
Хліборобів вулиця	вулиця Хліборобів
Хлопуші вулиця	вулиця Хлопуші
Хмелинець вулиця	вулиця Хмелинець
Хмельницьке шосе вулиця	вулиця Хмельницьке Шосе
Хміль вулиця	вулиця Хміль
Ходарєва вулиця	вулиця Ходарєва
Холмиста вулиця	Холмиста вулиця
Хоптяра вулиця	вулиця Хоптяра
Хоробрих вулиця	вулиця Хоробрих
Хорової Капели Боян вулиця	вулиця Хорової Капели Боян
Хохтів вулиця	вулиця Хохтів
Хохтіф вулиця	вулиця Хохтіф
Храпая вулиця	вулиця Храпая
Хрещата вулиця	Хрещата вулиця
Хрещатик вулиця	вулиця Хрещатик
Хризантем вулиця	вулиця Хризантем
Христина вулиця	вулиця Христина
Христо Ботєва вулиця	вулиця Христо Ботєва
Христо-Ботіво вулиця	вулиця Христо-Ботіво
ХТЗ вулиця	вулиця ХТЗ
Хутір вулиця	вулиця Хутір
хутір Горгулі вулиця	вулиця Хутір Горгулі
Хутір Комінтерн вулиця	вулиця Хутір Комінтерн
хутір Мідне вулиця	вулиця Хутір Мідне
Хутір Під Лісом вулиця	вулиця Хутір Під Лісом
Хутір Тарнава вулиця	вулиця Хутір Тарнава
Хутір Тернава вулиця	вулиця Хутір Тернава
Хутір Транспорт вулиця	вулиця Хутір Транспорт
Хуторище вулиця	вулиця Хуторище
Хуторок вулиця	вулиця Хуторок
Хущовка вулиця	вулиця Хущовка
ХХ Партз’їзда вулиця	вулиця ХХ Партзʼїзду
ХХІ Партз'їзду вулиця	вулиця ХХІ Партзʼїзду
Цадика вулиця	вулиця Цадика
Царицина вулиця	вулиця Царицина
Цвітаєва вулиця	вулиця Цвітаєва
Цвяньковець вулиця	вулиця Цвяньковець
Цеглянка вулиця	вулиця Цеглянка
Целіш вулиця	вулиця Целіш
Цендрівських вулиця	вулиця Цендрівських
Центр вулиця	вулиця Центр
Центральня вулиця	Центральня вулиця
Ценцарівщина вулиця	вулиця Ценцарівщина
Цепреуза вулиця	вулиця Цепреуза
Церетелі вулиця	вулиця Церетелі
Цертія вулиця	вулиця Цертія
Цеткін вулиця	вулиця Цеткін
Цибулько вулиця	вулиця Цибулько
Цимбалиста вулиця	Цимбалиста вулиця
Цимбалів Яр вулиця	вулиця Цимбалів Яр
ЦНС вулиця	вулиця ЦНС
ЦТР вулиця	вулиця ЦТР
Цукрозавод вулиця	вулиця Цукрозавод
Цукрозаводу вулиця	вулиця Цукрозаводу
Цулукидзе вулиця	вулиця Цулукидзе
Чадунелі вулиця	вулиця Чадунелі
Чайка вулиця	вулиця Чайка
Чайкіної вулиця	вулиця Чайкіної
Чайкіной вулиця	вулиця Чайкіной
Чалаплюка вулиця	вулиця Чалаплюка
Чалдаєва вулиця	вулиця Чалдаєва
Чанчибадзе вулиця	вулиця Чанчибадзе
Чапаєвка вулиця	вулиця Чапаєвка
Чапраєва вулиця	вулиця Чапраєва
Частника вулиця	вулиця Частника
Чебанця вулиця	вулиця Чебанця
Чекалових вулиця	вулиця Чекалових
Чекаля вулиця	вулиця Чекаля
Чекіста вулиця	вулиця Чекіста
Чекістів-Гайно вулиця	вулиця Чекістів-Гайно
Челебі Джихана вулиця	вулиця Челебі Джихана
Челпана вулиця	вулиця Челпана
Челюскина вулиця	вулиця Челюскина
Челюскинцев вулиця	вулиця Челюскинцев
Челюскінцев вулиця	вулиця Челюскінцев
Чемпіонів вулиця	вулиця Чемпіонів
Ченцових вулиця	вулиця Ченцових
Чепаш вулиця	вулиця Чепаш
Червениця вулиця	вулиця Червениця
Червона Алея вулиця	вулиця Червона Алея
Червона вулиця	Червона вулиця
Червона гірка вулиця	вулиця Червона Гірка
Червона Гірка вулиця	вулиця Червона Гірка
Червона гора вулиця	вулиця Червона Гора
Червона Гребля вулиця	вулиця Червона Гребля
Червона долина вулиця	вулиця Червона Долина
Червона Зірка вулиця	вулиця Червона Зірка
Червона Зоря вулиця	вулиця Червона Зоря
Червона Рута вулиця	вулиця Червона Рута
Червона Січ вулиця	вулиця Червона Січ
Червона Слобода вулиця	вулиця Червона Слобода
Червоне Селище вулиця	вулиця Червоне Селище
Червоних Зорь вулиця	вулиця Червоних Зорь
Червоних Командирів вулиця	вулиця Червоних Командирів
Червоних Курсантів вулиця	вулиця Червоних Курсантів
Червоних партизан вулиця	вулиця Червоних Партизан
Червоних Партизан вулиця	вулиця Червоних Партизан
Червоних Пілотів вулиця	вулиця Червоних Пілотів
Червоних Робітниць вулиця	вулиця Червоних Робітниць
Червоних Слідопитів вулиця	вулиця Червоних Слідопитів
Червоних Старшин вулиця	вулиця Червоних Старшин
Червоних Троянд вулиця	вулиця Червоних Троянд
Червонія вулиця	вулиця Червонія
Червонокозача вулиця	Червонокозача вулиця
Червоноселищна вулиця	Червоноселищна вулиця
Череднюка вулиця	вулиця Череднюка
Черемоша вулиця	вулиця Черемоша
Черепвивдь вулиця	вулиця Черепвивдь
Черлінка вулиця	вулиця Черлінка
Чернеча вулиця	Чернеча вулиця
Чернещина вулиця	вулиця Чернещина
Черницина вулиця	вулиця Черницина
Черничко вулиця	вулиця Черничко
Чернігівсьна вулиця	Чернігівська вулиця
Чернопятка вулиця	вулиця Чернопятка
Чертежик вулиця	вулиця Чертежик
Чертіж вулиця	вулиця Чертіж
Чесака вулиця	вулиця Чесака
Чечеловка вулиця	вулиця Чечеловка
Чибінєєва вулиця	вулиця Чибінєєва
Чигор вулиця	вулиця Чигор
Чижевських вулиця	вулиця Чижевських
Чикериса вулиця	вулиця Чикериса
Чирганка вулиця	вулиця Чирганка
Чиста вулиця	Чиста вулиця
Чистопілля вулиця	вулиця Чистопілля
Читачів вулиця	вулиця Читачів
Чичиклія вулиця	вулиця Чичиклія
Чігосуг вулиця	вулиця Чігосуг
Чікош Керт вулиця	вулиця Чікош Керт
Чіпі вулиця	вулиця Чіпі
Чкалову вулиця	вулиця Чкалову
Чоботаря вулиця	вулиця Чоботаря
Чоботька вулиця	вулиця Чоботька
Чолнокі вулиця	вулиця Чолнокі
Чонкаш вулиця	вулиця Чонкаш
Чорнобаївка вулиця	вулиця Чорнобаївка
Чорновіла вулиця	вулиця Чорновіла
Чорноп’ятка вулиця	вулиця Чорнопʼятка
Чороновола вулиця	вулиця Чороновола
Чорторийських вулиця	вулиця Чорторийських
Чпаєва вулиця	вулиця Чпаєва
Чрновола вулиця	вулиця Чрновола
Чубінідзе вулиця	вулиця Чубінідзе
Чубчика вулиця	вулиця Чубчика
Чугаєва вулиця	вулиця Чугаєва
Чугайстра вулиця	вулиця Чугайстра
Чуляка вулиця	вулиця Чуляка
Чумацтва вулиця	вулиця Чумацтва
Чупрея вулиця	вулиця Чупрея
Чурай вулиця	вулиця Чурай
Чутовка вулиця	вулиця Чутовка
Чхаїдзе вулиця	вулиця Чхаїдзе
Шаврина вулиця	вулиця Шаврина
Шагая вулиця	вулиця Шагая
Шайба вулиця	вулиця Шайба
Шакала вулиця	вулиця Шакала
Шаму Цабана вулиця	вулиця Шаму Цабана
Шанковських вулиця	вулиця Шанковських
Шанцера вулиця	вулиця Шанцера
Шапка вулиця	вулиця Шапка
Шарабана вулиця	вулиця Шарабана
Шарі Федак вулиця	вулиця Шарі Федак
Шаркуна вулиця	вулиця Шаркуна
Шахна вулиця	вулиця Шахна
Шахово вулиця	вулиця Шахово
Шахтарів вулиця	вулиця Шахтарів
Шахтарів Донбасу вулиця	вулиця Шахтарів Донбасу
Шахтаря вулиця	вулиця Шахтаря
Шахтостроитєлєй вулиця	вулиця Шахтостроитєлєй
Шваленберга вулиця	вулиця Шваленберга
Шевчена вулиця	вулиця Шевчена
Шелепаєва вулиця	вулиця Шелепаєва
Шенгелія вулиця	вулиця Шенгелія
Шептицьких вулиця	вулиця Шептицьких
Шерегія вулиця	вулиця Шерегія
Шереметка вулиця	вулиця Шереметка
Шеші вулиця	вулиця Шеші
Шиблеї вулиця	вулиця Шиблеї
Шилінгера вулиця	вулиця Шилінгера
Ширван-Заде вулиця	вулиця Ширван-Заде
Широка вулиця	Широка вулиця
Широка площа вулиця	вулиця Широка Площа
Широке вулиця	вулиця Широке
Шитів Потік вулиця	вулиця Шитів Потік
Шімзерів вулиця	вулиця Шімзерів
Шімона Голлоші вулиця	вулиця Шімона Голлоші
Шімона Меньгерта вулиця	вулиця Шімона Меньгерта
Шкрібляків вулиця	вулиця Шкрібляків
Шкуматових вулиця	вулиця Шкуматових
Шкурко вулиця	вулиця Шкурко
Шлюз вулиця	вулиця Шлюз
Шлямара вулиця	вулиця Шлямара
Шлях вулиця	вулиця Шлях
Шлях до Комунізму вулиця	вулиця Шлях до Комунізму
Шляхотчина Долина вулиця	вулиця Шляхотчина Долина
Шляхта вулиця	вулиця Шляхта
Шмiдта вулиця	вулиця Шмідта
Шнеєрсона вулиця	вулиця Шнеєрсона
Шовгениха вулиця	вулиця Шовгениха
Шовковиць вулиця	вулиця Шовковиць
Шовкостанція вулиця	вулиця Шовкостанція
Шорса вулиця	вулиця Шорса
Шосселя вулиця	вулиця Шосселя
Шостопарк вулиця	вулиця Шостопарк
Шпіндяка вулиця	вулиця Шпіндяка
