Абая провулок	провулок Абая
Решетнікова провулок	провулок Решетнікова
Рєпіна в’їзд	вʼїзд Рєпіна
Рєпіна провулок	провулок Рєпіна
Ржевського провулок	провулок Ржевського
Рилєєва провулок	провулок Рилєєва
Рильського провулок	провулок Рильського
Ріхарда Зорге провулок	провулок Ріхарда Зорге
Родини Іваненків провулок	провулок Родини Іваненків
Рожнова провулок	провулок Рожнова
Рози Люксембург майдан	майдан Рози Люксембург
Рози Люксембург провулок	провулок Рози Люксембург
Рокосовського провулок	провулок Рокосовського
Роксолани площа	площа Роксолани
Роксолани провулок	провулок Роксолани
Романа Бжеського провулок	провулок Романа Бжеського
Романа Левицького в’їзд	вʼїзд Романа Левицького
Романа Наглюка провулок	провулок Романа Наглюка
Романа Слободянюка провулок	провулок Романа Слободянюка
Романа Сушка провулок	провулок Романа Сушка
Романа Шухевича площа	площа Романа Шухевича
Романа Шухевича провулок	провулок Романа Шухевича
Романа Шухевича проспект	проспект Романа Шухевича
Романенка провулок	провулок Романенка
Ромена Роллана бульвар	бульвар Ромена Роллана
Ромена Роллана провулок	провулок Ромена Роллана
Ростовцева площа	площа Ростовцева
Руданського провулок	провулок Руданського
Рудинського провулок	провулок Рудинського
Руднєва в’їзд	вʼїзд Руднєва
Руднєва майдан	майдан Руднєва
Руднєва провулок	провулок Руднєва
Руднєвої проїзд	проїзд Руднєвої
Рудченка площа	площа Рудченка
Рудя тупик	тупик Рудя
Рудяги провулок	провулок Рудяги
Румянцева провулок	провулок Румянцева
Русанова провулок	провулок Русанова
Руслана Зайченка провулок	провулок Руслана Зайченка
Руслана Лужевського провулок	провулок Руслана Лужевського
Саврасова провулок	провулок Саврасова
Саврасова проїзд	проїзд Саврасова
Савчука провулок	провулок Савчука
Сагайдачного в’їзд	вʼїзд Сагайдачного
Сагайдачного провулок	провулок Сагайдачного
Садовського провулок	провулок Садовського
Саєнка провулок	провулок Саєнка
Сазонова квартал	квартал Сазонова
Сазонова провулок	провулок Сазонова
Саксаганського провулок	провулок Саксаганського
Салтикова-Щедрина провулок	провулок Салтикова-Щедріна
Салтикова-Щедріна провулок	провулок Салтикова-Щедріна
Салтикова-Щедріна проїзд	проїзд Салтикова-Щедріна
Сальвадора Альєнде провулок	провулок Сальвадора Альєнде
Самокиша провулок	провулок Самокиша
Самуїла Маршака провулок	провулок Самуїла Маршака
Санаторійний провулок	Санаторійний провулок
Санаторний провулок	Санаторний провулок
Санаторный тупик	Санаторный тупик
Санітарний провулок	Санітарний провулок
Саннікова провулок	провулок Саннікова
Сарани провулок	провулок Сарани
Сахарова провулок	провулок Сахарова
Саченка провулок	провулок Саченка
Саші Чекаліна провулок	провулок Саші Чекаліна
Свердлова в’їзд	вʼїзд Свердлова
Свердлова площа	площа Свердлова
Свердлова провулок	провулок Свердлова
Свердлова проспект	проспект Свердлова
Свєтлова тупик	тупик Свєтлова
Свинаря провулок	провулок Свинаря
Святителя Павла Конюшкевича площа	площа Святителя Павла Конюшкевича
Святих Кирила та Мефодія проспект	проспект Святих Кирила та Мефодія
Святого Івана Павла II Папи Римського майдан	майдан Святого Івана Павла II Папи Римського
Святого Івана Павла II проспект	проспект Святого Івана Павла II
Святого Макарія Канівського провулок	провулок Святого Макарія Канівського
Святого Миколая майдан	майдан Святого Миколая
Святого Теодора площа	площа Святого Теодора
Святої Софії Премудрості Божої площа	площа Святої Софії Премудрості Божої
Святослава Хороброго провулок	провулок Святослава Хороброго
Священника Жилюка провулок	провулок Священника Жилюка
Северина Наливайка площа	площа Северина Наливайка
Северина Наливайка провулок	провулок Северина Наливайка
Северина Наливайка проїзд	проїзд Северина Наливайка
Северина Наливайка тупик	тупик Северина Наливайка
Северина Потоцького провулок	провулок Северина Потоцького
Северина Яминського провулок	провулок Северина Яминського
Северіна провулок	провулок Северіна
Семафорний в’їзд	вʼїзд Семафорний
Семафорний провулок	провулок Семафорний
Семафорний проїзд	проїзд Семафорний
Семашка провулок	провулок Семашка
Семашка проспект	проспект Семашка
Семена Кузнеця провулок	провулок Семена Кузнеця
Семена Морочковського провулок	провулок Семена Морочковського
Семена Олійничука провулок	провулок Семена Олійничука
Семена Палія провулок	провулок Семена Палія
Семенова провулок	провулок Семенова
Сенатора провулок	провулок Сенатора
Сенька провулок	провулок Сенька
Серафимовича провулок	провулок Серафимовича
Сербіна провулок	провулок Сербіна
Сергєєва-Ценського провулок	провулок Сергєєва-Ценського
Сергія Аксакова провулок	провулок Сергія Аксакова
Сергія Білоуса провулок	провулок Сергія Білоуса
Сергія Бондарчука провулок	провулок Сергія Бондарчука
Сергія Борткевича провулок	провулок Сергія Борткевича
Сергія Бурлака проїзд	проїзд Сергія Бурлака
Сергія Грицевця бульвар	бульвар Сергія Грицевця
Сергія Гулюка провулок	провулок Сергія Гулюка
Сергія Ейзенштейна провулок	провулок Сергія Ейзенштейна
Сергія Єсеніна провулок	провулок Сергія Єсеніна
Сергія Закори провулок	провулок Сергія Закори
Сергія Колачевського проспект	проспект Сергія Колачевського
Сергія Корольова провулок	провулок Сергія Корольова
Сергія Котового провулок	провулок Сергія Котового
Сергія Кримського провулок	провулок Сергія Кримського
Сергія Кулжинського провулок	провулок Сергія Кулжинського
Сергія Лазо провулок	провулок Сергія Лазо
Сергія Лапонога провулок	провулок Сергія Лапонога
Сергія Мелимуки провулок	провулок Сергія Мелимуки
Сергія Миротворцева провулок	провулок Сергія Миротворцева
Сергія Набоки площа	площа Сергія Набоки
Сергія Нігояна провулок	провулок Сергія Нігояна
Сергія Нігояна проспект	проспект Сергія Нігояна
Сергія Оврашка провулок	провулок Сергія Оврашка
Сергія Остапенка провулок	провулок Сергія Остапенка
Сергія Параджанова провулок	провулок Сергія Параджанова
Сергія Петренка провулок	провулок Сергія Петренка
Сергія Проскурні провулок	провулок Сергія Проскурні
Сергія Ряженцева провулок	провулок Сергія Ряженцева
Сергія Сідлецького провулок	провулок Сергія Сідлецького
Сергія Титаренка провулок	провулок Сергія Титаренка
Сергія Тюленіна провулок	провулок Сергія Тюленіна
Сергія Тюлєніна провулок	провулок Сергія Тюлєніна
Сергія Уточкіна провулок	провулок Сергія Уточкіна
Сергія Фурсенка провулок	провулок Сергія Фурсенка
Сергія Ценського провулок	провулок Сергія Ценського
Середи провулок	провулок Середи
Сержанта Онопченка провулок	провулок Сержанта Онопченка
Серьогіна провулок	провулок Серьогіна
Сєдова провулок	провулок Сєдова
Сєдова проїзд	проїзд Сєдова
Сєрова провулок	провулок Сєрова
Сєченова провулок	провулок Сєченова
Сидора Кучерова провулок	провулок Сидора Кучерова
Сидорова провулок	провулок Сидорова
Симона Петлюри провулок	провулок Симона Петлюри
Симоненка провулок	провулок Симоненка
Синельникова провулок	провулок Синельникова
Синявського провулок	провулок Синявського
Ситника провулок	провулок Ситника
Ситниченка провулок	провулок Ситниченка
Сікорського провулок	провулок Сікорського
Сімака провулок	провулок Сімака
Сірка провулок	провулок Сірка
Скалистий провулок	Скалистий провулок
Скліфосовського провулок	провулок Скліфосовського
Скляра провулок	провулок Скляра
Скляренка провулок	провулок Скляренка
Склярова провулок	провулок Склярова
Сковороди провулок	провулок Сковороди
Скоропадського провулок	провулок Скоропадського
Скорульського проїзд	проїзд Скорульського
Скринника провулок	провулок Скринника
Скрипченка провулок	провулок Скрипченка
Слави алея	алея Слави
Слави бульвар	бульвар Слави
Слави в'їзд	вʼїзд Слави
Слави квартал	квартал Слави
Слави площа	площа Слави
Слави провулок	провулок Слави
Слави проспект	проспект Слави
Слєпньова провулок	провулок Слєпньова
Слинька провулок	провулок Слинька
Смирнова провулок	провулок Смирнова
Смірнова провулок	провулок Смірнова
Смотрицького провулок	провулок Смотрицького
Собінова провулок	провулок Собінова
Сокирка провулок	провулок Сокирка
Соколова провулок	провулок Соколова
Соколовського провулок	провулок Соколовського
Солов'яненка провулок	провулок Соловʼяненка
Соломії Крушельницької провулок	провулок Соломії Крушельницької
Солопа провулок	провулок Солопа
Сорокіна провулок	провулок Сорокіна
Сосницький провулок	Сосницький провулок
Соснової провулок	провулок Соснової
Сосновського провулок	провулок Сосновського
Сосюри провулок	провулок Сосюри
Сотника Савінського провулок	провулок Сотника Савінського
Софії Ковалевської провулок	провулок Софії Ковалевської
Софії Перовської провулок	провулок Софії Перовської
Софії Русової провулок	провулок Софії Русової
Спартака провулок	провулок Спартака
Срезневського в’їзд	вʼїзд Срезневського
Стальського провулок	провулок Стальського
Станіслава Губаря провулок	провулок Станіслава Губаря
Станіслава Манюшка в'їзд	вʼїзд Станіслава Манюшка
Станіслава Манюшка провулок	провулок Станіслава Манюшка
Станіслава Морозенка провулок	провулок Станіслава Морозенка
Станіславського провулок	провулок Станіславського
Станіславського проїзд	проїзд Станіславського
Стара Базарна площа	Стара Базарна площа
Старицького провулок	провулок Старицького
Стасів провулок	Стасів провулок
Стасова провулок	провулок Стасова
Стаханова провулок	провулок Стаханова
Стаховського провулок	провулок Стаховського
Стельмаха провулок	провулок Стельмаха
Степана Бандери майдан	майдан Степана Бандери
Степана Бандери площа	площа Степана Бандери
Степана Бандери провулок	провулок Степана Бандери
Степана Бандери проспект	проспект Степана Бандери
Степана Васильченка провулок	провулок Степана Васильченка
Степана Криворученка провулок	провулок Степана Криворученка
Степана Лелеки провулок	провулок Степана Лелеки
Степана Мазурця провулок	провулок Степана Мазурця
Степана Олійника узвіз	узвіз Степана Олійника
Степана Разіна провулок	провулок Степана Разіна
Степана Разіна тупик	тупик Степана Разіна
Степана Тимошенка провулок	провулок Степана Тимошенка
Степана Тудора провулок	провулок Степана Тудора
Степана Халтуріна провулок	провулок Степана Халтуріна
Степана Шкурата провулок	провулок Степана Шкурата
Степаненка провулок	провулок Степаненка
Степаненка проспект	проспект Степаненка
Степової Дивізії провулок	провулок Степової Дивізії
Стефана Яворського площа	площа Стефана Яворського
Стефаника провулок	провулок Стефаника
Стефановича провулок	провулок Стефановича
Стеценка Кирила провулок	провулок Стеценка Кирила
Стеценка провулок	провулок Стеценка
Стешенка провулок	провулок Стешенка
Сторожука провулок	провулок Сторожука
Стравінського алея	алея Стравінського
Стуса провулок	провулок Стуса
Суворова в'їзд	вʼїзд Суворова
Суворова в’їзд	вʼїзд Суворова
Суворова провулок	провулок Суворова
Суворова проїзд	проїзд Суворова
Суворова проспект	проспект Суворова
Сумцова провулок	провулок Сумцова
Супруна провулок	провулок Супруна
Сурикова провулок	провулок Сурикова
Сусаніна провулок	провулок Сусаніна
Сухомлинського провулок	провулок Сухомлинського
Тагора провулок	провулок Тагора
Тадея Рильського бульвар	бульвар Тадея Рильського
Таїрова площа	площа Таїрова
Тамари Гриценко провулок	провулок Тамари Гриценко
Тарана провулок	провулок Тарана
Таранушенка в'їзд	вʼїзд Таранушенка
Тараса Белоцького провулок	провулок Тараса Белоцького
Тараса Григоровича Шевченка площа	площа Тараса Григоровича Шевченка
Тараса Мазура провулок	провулок Тараса Мазура
Тараса Мельничука провулок	провулок Тараса Мельничука
Тараса Сенюка провулок	провулок Тараса Сенюка
Тараса Сича провулок	провулок Тараса Сича
Тараса Трясила проїзд	проїзд Тараса Трясила
Тараса Шевченка бульвар	бульвар Тараса Шевченка
Тараса Шевченка майдан	майдан Тараса Шевченка
Тараса Шевченка площа	площа Тараса Шевченка
Тараса Шевченка провулок	провулок Тараса Шевченка
Тараса Шевченка проспект	проспект Тараса Шевченка
Тараса Шевченка тупик	тупик Тараса Шевченка
Тарасової провулок	провулок Тарасової
Тарковського провулок	провулок Тарковського
Татищева провулок	провулок Татищева
Теліги провулок	провулок Теліги
Тельмана в’їзд	вʼїзд Тельмана
Тельмана провулок	провулок Тельмана
Тельмана проспект	проспект Тельмана
Теодора Торосевича бульвар	бульвар Теодора Торосевича
Теофіля Михайловича провулок	провулок Теофіля Михайловича
Терешкової провулок	провулок Терешкової
Терешкової проспект	проспект Терешкової
Терещенка провулок	провулок Терещенка
Тесленка провулок	провулок Тесленка
Тетяни Устинової провулок	провулок Тетяни Устинової
Тимірязєва в’їзд	вʼїзд Тимірязєва
Тимірязєва провулок	провулок Тимірязєва
Тимка Падури провулок	провулок Тимка Падури
Тимофія Рудяка провулок	провулок Тимофія Рудяка
Тимоша Носача провулок	провулок Тимоша Носача
Тимошенка провулок	провулок Тимошенка
Тимура Фрунзе провулок	провулок Тимура Фрунзе
Титаренка провулок	провулок Титаренка
Титаренко провулок	провулок Титаренко
Титова провулок	провулок Титова
Титова проспект	проспект Титова
Тичини провулок	провулок Тичини
Тищенка провулок	провулок Тищенка
Тінистий бульвар	бульвар Тінистий
Тінистий провулок	провулок Тінистий
Тінистий проїзд	проїзд Тінистий
Тітова провулок	провулок Тітова
Ткаченка провулок	провулок Ткаченка
Ткаченка-Петренка провулок	провулок Ткаченка-Петренка
Ткачука провулок	провулок Ткачука
Тобілевича провулок	провулок Тобілевича
Товстухи провулок	провулок Товстухи
Тодося Осьмачки провулок	провулок Тодося Осьмачки
Токарева провулок	провулок Токарева
Толбухіна площа	площа Толбухіна
Толбухіна провулок	провулок Толбухіна
Толмачова провулок	провулок Толмачова
Толстого в’їзд	вʼїзд Толстого
Толстого площа	площа Толстого
Толстого провулок	провулок Толстого
Толстого тупик	тупик Толстого
Томаса Маккензи бульвар	бульвар Томаса Маккензи
Томаша Есе площа	площа Томаша Есе
Томаша провулок	провулок Томаша
Топчія провулок	провулок Топчія
Третьякова провулок	провулок Третьякова
Третякова провулок	провулок Третякова
Тропініна провулок	провулок Тропініна
Трохименка провулок	провулок Трохименка
Труша провулок	провулок Труша
Тупик Червоної балки провулок	провулок Тупик Червоної Балки
Туполєва провулок	провулок Туполєва
Турбіна в’їзд	вʼїзд Турбіна
Тургелі Михайла провулок	провулок Тургелі Михайла
Тургенєва в’їзд	вʼїзд Тургенєва
Тургенєва провулок	провулок Тургенєва
Тухачевського провулок	провулок Тухачевського
Тютчева провулок	провулок Тютчева
Тютюнника провулок	провулок Тютюнника
Тютюнника тупик	тупик Тютюнника
Уборевича провулок	провулок Уборевича
Уварова провулок	провулок Уварова
Удода узвіз	узвіз Удода
Українки провулок	провулок Українки
Української Армії провулок	провулок Української Армії
Уласа Самчука провулок	провулок Уласа Самчука
Ульянова провулок	провулок Ульянова
Уляни Громової провулок	провулок Уляни Громової
Улянії та Анастасії Гольшанських провулок	провулок Улянії та Анастасії Гольшанських
Урбанського провулок	провулок Урбанського
Урицького провулок	провулок Урицького
Урицького проїзд	проїзд Урицького
Устима Кармалюка провулок	провулок Устима Кармалюка
Устима Кармелюка провулок	провулок Устима Кармелюка
Устименка провулок	провулок Устименка
Ушакова в'їзд	вʼїзд Ушакова
Ушакова провулок	провулок Ушакова
Ушакова проспект	проспект Ушакова
Ушинського провулок	провулок Ушинського
Фадєєва алея	алея Фадєєва
Фадєєва провулок	провулок Фадєєва
Федіра Черника провулок	провулок Федіра Черника
Федора Вешняка провулок	провулок Федора Вешняка
Федора Жученка тупик	тупик Федора Жученка
Федора Коробки провулок	провулок Федора Коробки
Федора Мазуленка провулок	провулок Федора Мазуленка
Федора Манайла провулок	провулок Федора Манайла
Федора Матушевського провулок	провулок Федора Матушевського
Федора Михайлова провулок	провулок Федора Михайлова
Федора Нетреби провулок	провулок Федора Нетреби
Федора Потушняка провулок	провулок Федора Потушняка
Федора Предтечі провулок	провулок Федора Предтечі
Федора Терещенка провулок	провулок Федора Терещенка
Федора Ушакова провулок	провулок Федора Ушакова
Федорова провулок	провулок Федорова
Федосєєва провулок	провулок Федосєєва
Федька провулок	провулок Федька
Федьковича провулок	провулок Федьковича
Фейєрбаха майдан	майдан Фейєрбаха
Фейєрбаха площа	площа Фейєрбаха
Фейєрбаха провулок	провулок Фейєрбаха
Фелікса Кона провулок	провулок Фелікса Кона
Феодосія Камінського провулок	провулок Феодосія Камінського
Феодосія Кривенка провулок	провулок Феодосія Кривенка
Феодосія Макаревського провулок	провулок Феодосія Макаревського
Ференца Козінці провулок	провулок Ференца Козінці
Ференца Ракоці площа	площа Ференца Ракоці
Ференца Ракоці Ⅱ площа	площа Ференца Ракоці Ⅱ
Фесенка провулок	провулок Фесенка
Філармонії площа	площа Філармонії
Філатова провулок	провулок Філатова
Філона Джалалія провулок	провулок Філона Джалалія
Філонова провулок	провулок Філонова
Фомина провулок	провулок Фомина
Фомічова провулок	провулок Фомічова
Франка бульвар	бульвар Франка
Франка в’їзд	вʼїзд Франка
Франка І. площа	площа І. Франка
Франка провулок	провулок Франка
Франка тупик	тупик Франка
Франца Лендера провулок	провулок Франца Лендера
Франца Мерінга провулок	провулок Франца Мерінга
Франциска Скорини провулок	провулок Франциска Скорини
Фурманова в’їзд	вʼїзд Фурманова
Фурманова провулок	провулок Фурманова
Фучика провулок	провулок Фучика
Халтуріна провулок	провулок Халтуріна
Халтуріна узвіз	узвіз Халтуріна
Хантадзе провулок	провулок Хантадзе
Харитини Пекарчук провулок	провулок Харитини Пекарчук
Харитоненків провулок	провулок Харитоненків
Харитонова в’їзд	вʼїзд Харитонова
Харченка провулок	провулок Харченка
Хвильового провулок	провулок Хвильового
Хмельницького бульвар	бульвар Хмельницького
Хмельницького провулок	провулок Хмельницького
Хоменка провулок	провулок Хоменка
Хорива провулок	провулок Хорива
Христини Алчевської провулок	провулок Христини Алчевської
Христофора Барановського провулок	провулок Христофора Барановського
Художника Кириченка провулок	провулок Художника Кириченка
Цегельника провулок	провулок Цегельника
Цибаня провулок	провулок Цибаня
Циганка провулок	провулок Циганка
Циганкова провулок	провулок Циганкова
Цимбала провулок	провулок Цимбала
Ціолковського в’їзд	вʼїзд Ціолковського
Ціолковського провулок	провулок Ціолковського
Цюрупи провулок	провулок Цюрупи
Цюрупи проїзд	проїзд Цюрупи
Чаадаєва провулок	провулок Чаадаєва
Чайковського в'їзд	вʼїзд Чайковського
Чайковського в’їзд	вʼїзд Чайковського
Чайковського провулок	провулок Чайковського
Чайковського тупик	тупик Чайковського
Чалого провулок	провулок Чалого
Чапаєва в’їзд	вʼїзд Чапаєва
Чапаєва провулок	провулок Чапаєва
Чапаєва проїзд	проїзд Чапаєва
Чапаєва проспект	проспект Чапаєва
Чаплигіна провулок	провулок Чаплигіна
Червона Балка провулок	провулок Червона Балка
Червона Балка тупик	тупик Червона Балка
Червоного Козацтва провулок	провулок Червоного Козацтва
Червоного Міліціонера в’їзд	вʼїзд Червоного Міліціонера
Червоного Прапору провулок	провулок Червоного Прапору
Червоноі Калини проспект	проспект Червоноі Калини
Червоної Калини провулок	провулок Червоної Калини
Червоної Калини проспект	проспект Червоної Калини
Чередника провулок	провулок Чередника
Чередниченка провулок	провулок Чередниченка
Черепанових провулок	провулок Черепанових
Чернишевського провулок	провулок Чернишевського
Чернишевського проїзд	проїзд Чернишевського
Чернова провулок	провулок Чернова
Черноуса провулок	провулок Черноуса
Черняка бульвар	бульвар Черняка
Черняхівського провулок	провулок Черняхівського
Черняховського провулок	провулок Черняховського
Чеслава Бєлінського провулок	провулок Чеслава Бєлінського
Четарів провулок	Четарів провулок
Чехова в'їзд	вʼїзд Чехова
Чехова в’їзд	вʼїзд Чехова
Чехова вʼїзд	вʼїзд Чехова
Чехова провулок	провулок Чехова
Чигоріна провулок	провулок Чигоріна
Чиркова провулок	провулок Чиркова
Чичеріна провулок	провулок Чичеріна
Чкалова в’їзд	вʼїзд Чкалова
Чкалова Валерія провулок	провулок Чкалова Валерія
Чкалова провулок	провулок Чкалова
Чорновола бульвар	бульвар Чорновола
Чорновола провулок	провулок Чорновола
Чорновола проспект	проспект Чорновола
Чубаря провулок	провулок Чубаря
Чубинського провулок	провулок Чубинського
Чумака провулок	провулок Чумака
Чумакова провулок	провулок Чумакова
Чумаченка провулок	провулок Чумаченка
Шандора Петефі площа	площа Шандора Петефі
Шандора Петефі провулок	провулок Шандора Петефі
Шаповалова провулок	провулок Шаповалова
Шаталова провулок	провулок Шаталова
Шаумяна провулок	провулок Шаумяна
Шахтарської Слави бульвар	бульвар Шахтарської Слави
Шашкевича провулок	провулок Шашкевича
Шварца провулок	провулок Шварца
Шведова проспект	проспект Шведова
Шверника в’їзд	вʼїзд Шверника
Шверника провулок	провулок Шверника
Шевельова провулок	провулок Шевельова
Шевцової провулок	провулок Шевцової
Шевченка алея	алея Шевченка
Шевченка бульвар	бульвар Шевченка
Шевченка в’їзд	вʼїзд Шевченка
Шевченка квартал	квартал Шевченка
Шевченка майдан	майдан Шевченка
Шевченка площа	площа Шевченка
Шевченка провулок	провулок Шевченка
Шевченка проїзд	проїзд Шевченка
Шевченка проспект	проспект Шевченка
Шевченка тупик	тупик Шевченка
Шекспіра провулок	провулок Шекспіра
Шептицького майдан	майдан Шептицького
Шептицького провулок	провулок Шептицького
Шестакова провулок	провулок Шестакова
Шилова провулок	провулок Шилова
Шиндлера провулок	провулок Шиндлера
Шишацький провулок	провулок Шишацький
Шишкіна провулок	провулок Шишкіна
Шишкіна проїзд	проїзд Шишкіна
Шишкова провулок	провулок Шишкова
Шматка провулок	провулок Шматка
Шмідта провулок	провулок Шмідта
Шмідта проїзд	проїзд Шмідта
Шовкуненка провулок	провулок Шовкуненка
Шолохова провулок	провулок Шолохова
Шопена провулок	провулок Шопена
Шопена проїзд	проїзд Шопена
Шостаковича провулок	провулок Шостаковича
Шота провулок	провулок Шота
Шота Руставелі провулок	провулок Шота Руставелі
Шота Руставелі проїзд	проїзд Шота Руставелі
Шпильки провулок	провулок Шпильки
Шпитальний провулок	провулок Шпитальний
Штерна провулок	провулок Штерна
Шуберта площа	площа Шуберта
Шукшина провулок	провулок Шукшина
Шульгіна провулок	провулок Шульгіна
Шумана провулок	провулок Шумана
Шумського провулок	провулок Шумського
Шухевича провулок	провулок Шухевича
Шухевича Романа провулок	провулок Романа Шухевича
Щедріна провулок	провулок Щедріна
Щепкіна провулок	провулок Щепкіна
Щепкіна проїзд	проїзд Щепкіна
Щепотьєва бульвар	бульвар Щепотьєва
Щербакова провулок	провулок Щербакова
Щербицького площа	площа Щербицького
Щоголіва провулок	провулок Щоголіва
Щорса бульвар	бульвар Щорса
Щорса в’їзд	вʼїзд Щорса
Щорса провулок	провулок Щорса
Щукіна провулок	провулок Щукіна
Щусєва провулок	провулок Щусєва
Юліана Мовчана провулок	провулок Юліана Мовчана
Юліана Ступака провулок	провулок Юліана Ступака
Юліана Ступака проїзд	проїзд Юліана Ступака
Юлія Мейтуса провулок	провулок Юлія Мейтуса
Юнацтва провулок	провулок Юнацтва
Юнацький в’їзд	Юнацький вʼїзд
Юнацький провулок	Юнацький провулок
Юнацький проїзд	Юнацький проїзд
Юний провулок	Юний провулок
Юних Комунарів провулок	провулок Юних Комунарів
Юри провулок	провулок Юри
Юрія Асєєва провулок	провулок Юрія Асєєва
Юрія Гагаріна вулиця / Гагаріна провулок	провулок Юрія Гагаріна вулиця / Гагаріна
Юрія Гагаріна провулок	провулок Юрія Гагаріна
Юрія Гагаріна проспект	проспект Юрія Гагаріна
Юрія Гойди бульвар	бульвар Юрія Гойди
Юрія Горбачова провулок	провулок Юрія Горбачова
Юрія Горліс-Горського провулок	провулок Юрія Горліс-Горського
Юрія Дарагана провулок	провулок Юрія Дарагана
Юрія Дрогобича бульвар	бульвар Юрія Дрогобича
Юрія Касима провулок	провулок Юрія Касима
Юрія Клена провулок	провулок Юрія Клена
Юрія Кондратюка провулок	провулок Юрія Кондратюка
Юрія Кондратюка проїзд	проїзд Юрія Кондратюка
Юрія Костюченка провулок	провулок Юрія Костюченка
Юрія Липи провулок	провулок Юрія Липи
Юрія Матущака провулок	провулок Юрія Матущака
Юрія Мезенцева провулок	провулок Юрія Мезенцева
Юрія Мілієнка провулок	провулок Юрія Мілієнка
Юрія Міхновського провулок	провулок Юрія Міхновського
Юрія Побєдоносцева бульвар	бульвар Юрія Побєдоносцева
Юрія Смирнова провулок	провулок Юрія Смирнова
Юрія Таптунова провулок	провулок Юрія Таптунова
Юрія Тютюнника провулок	провулок Юрія Тютюнника
Юрія Федьковича провулок	провулок Юрія Федьковича
Юрія Шкарупи провулок	провулок Юрія Шкарупи
Юрка Тютюнника провулок	провулок Юрка Тютюнника
Юхима Сіцінського провулок	провулок Юхима Сіцінського
Яворницького провулок	провулок Яворницького
Яківчука провулок	провулок Яківчука
Якова Брюховецького провулок	провулок Якова Брюховецького
Якова Водяного провулок	провулок Якова Водяного
Якова Гальчевського провулок	провулок Якова Гальчевського
